"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","105.9","","China","Alita fish farm"
"2","mixed","101.0 kg","206","64","Russia","Enisey river"
"3","unsexed","26.0 kg","","","Germany","fishing lake Zwillbrock, 2009"
"4","male","","","38","Russia","Indigirka River, (1984, 1985, 1987)"
"5","female","","","63","Russia","Indigirka River, (1984, 1985, 1987)"
"6","male","","","30","Russia","Kolyma River, 1988, 1989"
"7","female","","","42","Russia","Kolyma River, 1988, 1989"
"8","female","","","50","Russia","Lena River, 1986"
"9","male","","","28","Russia","Lena River, 1986"
"10","unsexed","6.2 kg","","","Hungary","Maconkai Reservoir, 2005"
"11","unsexed","","","60","Russia","Not specified (Siberian rivers?)."
"12","unsexed","200.0 kg","300","","Russia","Not specified."
"13","unsexed","210.0 kg","200","","Russia","Siberia (from Ob to Kolyma drainages, Lake Baikal)"
"14","unsexed","21.6 kg","","","Germany","Waldsee Maroth/2005"
"15","female","","","49","Russia","Yenisei River, 1988-1992"
"16","male","","","51","Russia","Yenisei River, 1988-1992"
