"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","3.5 kg","","12","","-"
"2","mixed","","","11","Oman","Arabian Sea"
"3","mixed","","70","25","Oman","Arabian Sea, 2001-2002"
"4","unsexed","","","5","Viet Nam","Golf of Tonkin"
"5","unsexed","","35","","Yemen","Gulf of Aden, 1983-87"
"6","unsexed","","20.2","","Israel","Gulf of Aqaba, 1989"
"7","male","4.1 kg","60","20","","North West Arabian Sea"
"8","female","5.0 kg","64","20","","North West Arabian Sea"
"9","mixed","","58","9.1","United Arab Em.","off Abu Dhabi, 2000-2003"
"10","unsexed","","65","","Iran","Persian Gulf and Oman Sea"
