"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","178","","","Eastern Indian Ocean"
"2","male","","150","","","Eastern Indian Ocean"
"3","female","","172","","","Northern Indian Ocean"
"4","male","","168","","","Northern Indian Ocean"
"5","female","","255","18","","Not given."
"6","male","","174","12","Hawaii","not specified"
"7","unsexed","","232","","Indonesia","not specified"
"8","female","","187","12","Hawaii","not specified"
"9","unsexed","","","25","Micronesia","to be filled"
"10","male","","185","","Hawaii","to be filled"
"11","female","","190","","Hawaii","to be filled"
