"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","102","15","South Africa","Geln Melville Reservoir, 2007"
"2","unsexed","","82","","Zimbabwe","Lake Kariba"
"3","male","","109","","South Africa","Lake Sibaya"
"4","female","","104","","South Africa","Lake Sibaya"
"5","unsexed","","150","","Rwanda","not specified."
"6","unsexed","42.5 kg","","","South Africa","Orange River, 2000"
"7","unsexed","42.2 kg","","","South Africa","Orange River, 2003"
"8","unsexed","42.2 kg","","","South Africa","Orange River, 2003"
"9","unsexed","","115","8","South Africa","P.K. le Roux Dam"
"10","unsexed","831.00 g","52","","Brazil","Uruguay River"
