"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","86","","","Asia-Pacific Region"
"2","unsexed","4.4 kg","86","25","Australia","Great Barrier Reef, Queensland"
"3","unsexed","","69","21","Yemen","Gulf of Aden, 1983-87"
"4","unsexed","","83","19","Egypt","Gulf of Suez"
"5","unsexed","","","28","Australia","H. Abrolhos I. (~28°42'S,113°49'E); Exmouth (~21°47'S,114°11'E); Broome (~18°00'S,122°07'E), 1990-91"
"6","male","","","24","New Caledonia","New Caledonia"
"7","unsexed","","87","","New Caledonia","New Caledonia"
"8","female","","","27","New Caledonia","New Caledonia"
"9","unsexed","","62","20","Kuwait","Northern Persian Gulf"
"10","mixed","","56","14","United Arab Em.","off Abu Dhabi, 2000-2003"
"11","unsexed","","87","","Iran","Persian Gulf and Oman Sea"
