"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","10","","-"
"2","unsexed","","116","","","Asia-Pacific Region"
"3","unsexed","","80","","Global","East Indies"
"4","unsexed","32.7 kg","116","","Australia","Great Barrier Reef, 15°-18°S"
"5","unsexed","","","11","Somalia","Gulf of Aden, African coast"
"6","female","","58.4","34","Australia","North-western coast, 1997-99"
"7","male","","72.8","30","Australia","North-western coast, 1997-99"
"8","unsexed","","100","","India","not specified."
"9","male","","91","","Seychelles","Seychelles"
"10","unsexed","","100","","South Africa","South Africa"
