"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","102","","","Bay of Biscay, 1994"
"2","mixed","","80","8","Greece","Central Aegean Sea, 1990-91"
"3","unsexed","","140","","Egypt","Eastern Mediterranean"
"4","unsexed","","56","7","Greece","Euboikos Gulf, 1986-88"
"5","unsexed","","60","","Spain","Galicia and Cantábrico, 1993"
"6","female","","75","7","Spain","Gulf of Alicante, Mediterranean, 1992-1998"
"7","mixed","","58","9","Greece","Ionian Sea, 1983-85"
"8","mixed","","56","8","Greece","Korinthiakos Gulf, 1983-85"
"9","female","","","10","Turkey","Marmara Sea"
"10","male","","","10","Turkey","Marmara Sea"
"11","mixed","","73","6","Greece","North Aegean Sea, 1991-93"
"12","mixed","","64","10","Greece","Patriakos Gulf, 1983-85"
"13","unsexed","","86","","Portugal","Portuguese coast (38°00´- 39°31´)"
"14","female","","58","8","Greece","Thermaikos Gulf, 1976-773"
