"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","male","","61","","Iceland","1923"
"2","unsexed","","49","","UK Scotland","Dornoch Firth, 1920"
"3","unsexed","","50","12","UK Scotland","east of Shetland, 1928"
"4","unsexed","2.1 kg","55","","UK Scotland","East Southeast of Aberdeen, 1934"
"5","female","2.9 kg","57","23","Iceland","Easter - Wester Horns, 51-66 m, 1946"
"6","unsexed","","67","","UK Scotland","Inner Firth of Forth, 15 m, 1907"
"7","unsexed","","51","","UK Scotland","off Bass Rock, Outer Firth of Firth, 1904"
"8","male","2.2 kg","57","15","UK Scotland","off Fraserburgh, 1964"
"9","unsexed","2.0 kg","50","","UK Scotland","Rattray Head, Aberdeenshire, 1935"
"10","unsexed","","50","","UK Scotland","Smith Bank, Moray Firth, 1920"
