"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","353.00 g","25.7","8","Hong Kong","1972-73"
"2","male","596.00 g","31.1","7","Hong Kong","1972-73"
"3","unsexed","","27","","Brunei Darsm","30-40 m"
"4","unsexed","","27","","","Gulf of Aden, 1983-87"
"5","unsexed","","25.7","","Israel","Gulf of Aqaba, 1982"
"6","unsexed","","35","","India","Kakinada"
"7","male","","32","","Kuwait","Kuwait"
"8","unsexed","","30","","India","Madras"
"9","unsexed","","28","3.3","India","Maharashtra and Gujarat"
"10","mixed","","32.3","","India","Mumbai coast, 2000-03"
"11","unsexed","","32.4","","India","Off Bombay, 1983-85"
"12","unsexed","","30","","Iran","Persian Gulf and Oman Sea"
"13","unsexed","","30","","India","Visakhapatnam"
