"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","51","","Iran","Caspian Sea"
"2","unsexed","5.9 kg","","","UK","Chiddingstone Castle Lake, 1945"
"3","mixed","","40","14.5","Russia","Enisey river"
"4","unsexed","","60","21","","Eurasia"
"5","unsexed","4.0 kg","","","Germany","Laacher Lake, unknown"
"6","mixed","","23","5","Greece","Lake Doirani (1989-1992)"
"7","male","","","9","Greece","Lake Koronia (1976)"
"8","mixed","","23","9","Greece","Lake Koronia (1976)"
"9","female","","","9","Greece","Lake Koronia (1976)"
"10","female","","","17","UK","Loch Davan, 1975-1977"
"11","male","","","17","UK","Loch Kinord, 1975-1977"
"12","unsexed","","23","","Australia","Murray River, Western Australia"
"13","unsexed","4.0 kg","","","Romania","Olt River, unknown"
"14","unsexed","","","22","Sweden","Sweden"
