"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","3","Spain","Atlantic coast"
"2","unsexed","","","21","Finland","Baltics Sea (SW of  Åland Islands)"
"3","unsexed","","","6","Poland","Bay of Gdansk, Baltic Sea"
"4","unsexed","","","4","France","Brittany"
"5","unsexed","","","5.5","","North Sea"
"6","unsexed","","","6","","North Sea"
"7","unsexed","","","5","Denmark","North Sea (east coast)"
"8","unsexed","","","7","Norway","Norway"
"9","unsexed","","","6","Sweden","West coast"
"10","unsexed","","","20","Estonia","west of Soela Sound, Baltic Sea"
"11","female","18.50 g","13.6","3.5","Germany","Western Baltic, 1900"
"12","unsexed","","15","","UK Engld Wal","Western England"
