"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","2.12","","Philippines","Balicasag Island"
"2","unsexed","","1.89","","Papua New Guinea","Bougainville Island"
"3","unsexed","","2.8","","Global","East Indies"
"4","unsexed","","1.7","","Australia","Great Barrier Reef"
"5","unsexed","","2.07","","Solomon Is.","Guadalcanal"
"6","unsexed","","1.82","","Fiji","Lau Group"
"7","unsexed","","2.25","","Indonesia","Moluccas"
"8","unsexed","","1.75","0.238","Palau","Mutremdiu wall, Uchelbeluu Reef, 2007"
"9","unsexed","","1.7","","Vanuatu","New Hebrides, Espiritu Santo, Bogacio Island"
"10","unsexed","","1.78","","Palau","Not specified"
"11","female","","1.97","","Philippines","Siquijor Island"
