"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","37.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=5737&sex=unsexed&loo=37.80000&k=0.14500&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=1314&gm_lm_rl=1"">0.15</a>","-0.51","","","","","2.32","Hungary","Lake Balaton, northeast","No","No"
"2","42.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=1139&sex=unsexed&loo=42.00000&k=0.23300&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=1312&gm_lm_rl=1"">0.23</a>","","","0.17","8.0","","2.61","Russia","Northern Caspian","No","No"
"3","44.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=97119&sex=mixed&loo=44.60000&k=0.17500&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=21118&gm_lm_rl=1"">0.18</a>","0.23","","","","","2.54","Poland","Lake D?bie","No","No"
"4","45.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=58482&sex=male&loo=45.20000&k=0.10200&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=9242&gm_lm_rl=1"">0.10</a>","-0.35","M","","","","2.32","Greece","Lake Volvi (1989-1991)","No","No"
"5","45.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=5737&sex=unsexed&loo=45.90000&k=0.12000&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=1315&gm_lm_rl=1"">0.12</a>","-0.56","","","","","2.40","Hungary","Lake Balaton, northeast","No","No"
"6","46.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=720&sex=unsexed&loo=46.80000&k=0.27800&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=1311&gm_lm_rl=1"">0.28</a>","","","","","","2.78","Russia","Azov Sea (brackish)","No","No"
"7","49.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=41818&sex=unsexed&loo=49.00000&k=0.15000&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=6603&gm_lm_rl=1"">0.15</a>","","","","","","2.56","Romania","Matita-Merhei, Danube Delta","No","No"
"8","49.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=41412&sex=unsexed&loo=49.20000&k=0.13200&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=6499&gm_lm_rl=1"">0.13</a>","-0.14","","","","","2.50","Czechia","Berounka river","No","No"
"9","50.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=26323&sex=unsexed&loo=50.10000&k=0.08300&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=1316&gm_lm_rl=1"">0.08</a>","0.23","","","","","2.32","Hungary","Lake Balaton","No","No"
"10","50.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=41818&sex=unsexed&loo=50.30000&k=0.18000&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=6601&gm_lm_rl=1"">0.18</a>","","","","","","2.66","Romania","Fortuna, Danube Delta","No","No"
"11","50.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=282&pref=58482&sex=female&loo=50.70000&k=0.09400&id2=268&genusname=Abramis&speciesname=brama&gm_loo=63.844105856593&gm_lm=1&gm_m=0.165&gm_k=0.12245231878217&vautoctr=9245&gm_lm_rl=1"">0.09</a>","-0.41","F","","","","2.38","Greece","Lake Volvi (1989-1991)","No","No"
