"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","21.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=12148&sex=unsexed&loo=21.60000&k=0.43000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2901&gm_lm_rl=0.74000000953674"">0.43</a>","","","","27.2","","2.30","Tanzania","Zanzibar","No","No"
"2","21.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1439&sex=unsexed&loo=21.70000&k=1.35000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2890&gm_lm_rl=0.74000000953674"">1.35</a>","-0.03","","","24.0","","2.80","New Caledonia","Dumbea Bay","No","No"
"3","22.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=2178&sex=unsexed&loo=22.00000&k=3.74000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2897&gm_lm_rl=0.74000000953674"">3.74</a>","","","","21.0","","3.26","Mozambique","","Yes","No"
"4","22.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1439&sex=unsexed&loo=22.20000&k=1.58000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2891&gm_lm_rl=0.74000000953674"">1.58</a>","-0.00","","2.90","24.7","16.5","2.89","New Caledonia","lagoons","No","No"
"5","22.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=22.50000&k=2.15000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6921&gm_lm_rl=0.74000000953674"">2.15</a>","","","","","","3.04","Sri Lanka","South west coast","No","No"
"6","22.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=312&sex=unsexed&loo=22.60000&k=0.65000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2886&gm_lm_rl=0.74000000953674"">0.65</a>","","","","27.5","","2.52","Egypt","Red Sea, Al Ghardaqa","No","No"
"7","22.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=22.80000&k=2.06000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6922&gm_lm_rl=0.74000000953674"">2.06</a>","","","","","","3.03","Sri Lanka","South west coast","No","No"
"8","22.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=22.90000&k=2.38000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2895&gm_lm_rl=0.74000000953674"">2.38</a>","-0.08","","","27.0","","3.10","Sri Lanka","Negombo","No","No"
"9","23.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1439&sex=unsexed&loo=23.20000&k=1.10000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2892&gm_lm_rl=0.74000000953674"">1.10</a>","-0.14","","","24.0","","2.77","New Caledonia","St. Vincent","No","No"
"10","23.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=10861&sex=unsexed&loo=23.30000&k=1.30000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2900&gm_lm_rl=0.74000000953674"">1.30</a>","","","","28.2","","2.85","Indonesia","Java Sea, off Pekalongan and Juwana","No","No"
"11","23.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=23.80000&k=0.95000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6920&gm_lm_rl=0.74000000953674"">0.95</a>","","","","28.0","","2.73","Sri Lanka","South Coast","No","No"
"12","24.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=312&sex=unsexed&loo=24.30000&k=0.58600&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2887&gm_lm_rl=0.74000000953674"">0.59</a>","","","","28.2","","2.54","Indonesia","Thousand Islands, Java Sea","No","No"
"13","24.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=24.60000&k=1.30000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6923&gm_lm_rl=0.74000000953674"">1.30</a>","","","","27.0","","2.90","Sri Lanka","South west coast","No","No"
"14","24.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36269&sex=unsexed&loo=24.80000&k=0.95000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6918&gm_lm_rl=0.74000000953674"">0.95</a>","","","","27.0","","2.77","Sri Lanka","Negombo","No","No"
"15","25.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1447&sex=unsexed&loo=25.20000&k=1.17500&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2896&gm_lm_rl=0.74000000953674"">1.18</a>","","","","28.2","","2.87","Indonesia","Java Sea","No","No"
"16","25.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=5763&sex=unsexed&loo=25.20000&k=1.25000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2899&gm_lm_rl=0.74000000953674"">1.25</a>","","","","27.0","","2.90","Sri Lanka","Western coast","No","No"
"17","25.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=13304&sex=unsexed&loo=25.20000&k=2.10000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2902&gm_lm_rl=0.74000000953674"">2.10</a>","","","","28.0","","3.13","Philippines","South Sulu Sea","No","No"
"18","25.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1314&sex=unsexed&loo=25.80000&k=1.15000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2889&gm_lm_rl=0.74000000953674"">1.15</a>","","","","28.0","","2.88","Indonesia","off Pekalongan, North/Central Java","No","No"
"19","26.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=36847&sex=unsexed&loo=26.00000&k=1.40000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=6006&gm_lm_rl=0.74000000953674"">1.40</a>","","","","29.5","","2.98","Kiribati","","No","No"
"20","26.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=93920&sex=unsexed&loo=26.00000&k=0.82500&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=11635&gm_lm_rl=0.74000000953674"">0.83</a>","","","1.40","","","2.75","Indonesia","Natuna Sea","No","No"
"21","26.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1442&sex=unsexed&loo=26.10000&k=0.37000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2893&gm_lm_rl=0.74000000953674"">0.37</a>","","","","27.5","","2.40","Egypt","","No","No"
"22","26.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1442&sex=unsexed&loo=26.10000&k=0.38000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2894&gm_lm_rl=0.74000000953674"">0.38</a>","","","","27.5","","2.41","Sudan","near Egyptian border","No","No"
"23","27.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=1263&sex=unsexed&loo=27.30000&k=0.86000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2888&gm_lm_rl=0.74000000953674"">0.86</a>","","","","28.5","","2.81","Philippines","Palawan","No","No"
"24","29.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=3785&sex=unsexed&loo=29.00000&k=1.30000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2898&gm_lm_rl=0.74000000953674"">1.30</a>","","","","28.7","","3.04","Philippines","Camotes Sea","No","No"
"25","31.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1694&pref=13304&sex=unsexed&loo=31.00000&k=1.35000&id2=1501&genusname=Amblygaster&speciesname=sirm&gm_loo=24.508990820744&gm_lm=16.5&gm_m=2.014944167961&gm_k=1.1275046992228&vautoctr=2903&gm_lm_rl=0.74000000953674"">1.35</a>","","","","28.0","","3.11","Philippines","Camotes Sea","Yes","No"
