"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","37.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=37.50000&k=0.97800&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5021&gm_lm_rl=1"">0.98</a>","","M","","19.0","","3.14","Italy","Acquatina (Southwest Adriatic)","Yes","No"
"2","38.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=80019&sex=male&loo=38.80000&k=1.09500&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=10339&gm_lm_rl=1"">1.10</a>","","M","","","","3.22","France","Camargue lagoons, Rhône delta","Yes","No"
"3","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=34036&sex=male&loo=41.80000&k=0.35000&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=6065&gm_lm_rl=1"">0.35</a>","","M","","15.0","","2.79","Italy","Comacchio lagoons","No","No"
"4","42.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=42.10000&k=0.39100&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5015&gm_lm_rl=1"">0.39</a>","","M","","19.0","","2.84","Italy","Monaci lagoon","No","No"
"5","44.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=44.90000&k=0.62300&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5020&gm_lm_rl=1"">0.62</a>","","M","","19.0","","3.10","Italy","Varano lagoon","Yes","No"
"6","45.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=45.30000&k=0.61900&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5017&gm_lm_rl=1"">0.62</a>","","M","","19.0","","3.10","Italy","Lesina lagoon","Yes","No"
"7","47.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=47.00000&k=0.46700&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5011&gm_lm_rl=1"">0.47</a>","-0.35","M","","15.0","","3.01","Italy","Comacchio lagoon","Yes","No"
"8","49.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=49.30000&k=0.33660&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=4992&gm_lm_rl=1"">0.34</a>","-0.49","M","0.26","15.0","","2.91","Italy","Comacchio lagoon","No","Yes"
"9","50.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=50.10000&k=0.33700&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5023&gm_lm_rl=1"">0.34</a>","","M","","19.0","","2.93","Italy","Sardinia","No","No"
"10","51.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32610&sex=male&loo=51.30000&k=0.37800&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=5014&gm_lm_rl=1"">0.38</a>","","M","","19.0","","3.00","Italy","Valle Nuova lagoon","No","No"
"11","58.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=80019&sex=female&loo=58.00000&k=0.63100&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=10338&gm_lm_rl=1"">0.63</a>","","F","","","","3.33","France","Camargue lagoons, Rhône delta","Yes","No"
"12","65.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=45&pref=32877&sex=male&loo=65.90000&k=0.03600&id2=35&genusname=Anguilla&speciesname=anguilla&gm_loo=72.956076325234&gm_lm=1&gm_m=0.26&gm_k=0.14647008069703&vautoctr=7055&gm_lm_rl=1"">0.04</a>","-3.22","M","","","","2.19","Ireland","Burrishoole system (9°55'W, 53°55'N)","No","No"
