"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58130&sex=unsexed&loo=23.50000&k=0.21000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9123&gm_lm_rl=1"">0.21</a>","-1.98","","","","","2.06","Tunisia","South Tunisian coasts","No","No"
"2","24.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58130&sex=unsexed&loo=24.30000&k=0.23000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9121&gm_lm_rl=1"">0.23</a>","-1.65","","","","","2.13","Tunisia","Tunisian Gulf","No","No"
"3","25.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=5533&sex=unsexed&loo=25.40000&k=0.29000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=1084&gm_lm_rl=1"">0.29</a>","","","0.39","17.5","","2.27","Algeria","Bou-Ismail","No","No"
"4","26.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58187&sex=male&loo=26.60000&k=0.21000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9168&gm_lm_rl=1"">0.21</a>","-2.60","M","","","","2.17","Algeria","Beni-Saf","No","No"
"5","26.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58130&sex=unsexed&loo=26.70000&k=0.22000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9122&gm_lm_rl=1"">0.22</a>","-1.43","","","","","2.20","Tunisia","East Tunisian coasts","No","No"
"6","27.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58187&sex=female&loo=27.30000&k=0.22000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9167&gm_lm_rl=1"">0.22</a>","-1.94","F","","","","2.21","Algeria","Beni-Saf","No","No"
"7","28.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58161&sex=unsexed&loo=28.10000&k=0.18000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9133&gm_lm_rl=1"">0.18</a>","-1.13","","","","","2.15","Egypt","Egyptian coasts","No","No"
"8","28.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=89966&sex=mixed&loo=28.42000&k=0.37900&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=10688&gm_lm_rl=1"">0.38</a>","","","","","","2.49","Italy","Ligurian Sea","No","No"
"9","28.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=96811&sex=mixed&loo=28.60000&k=0.23900&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=21101&gm_lm_rl=1"">0.24</a>","-1.08","","","","","2.29","Egypt","Alexandria","No","No"
"10","28.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=217&pref=58130&sex=unsexed&loo=28.70000&k=0.20000&id2=203&genusname=Boops&speciesname=boops&gm_loo=29.787691202086&gm_lm=12.324480295498&gm_m=0.39&gm_k=0.20875781122642&vautoctr=9120&gm_lm_rl=1"">0.20</a>","-1.41","","","","","2.22","Tunisia","North Tunisian coasts","No","No"
