"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","29.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=75137&sex=male&loo=29.50000&k=0.47000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=9664&gm_lm_rl=1"">0.47</a>","-0.12","M","","","","2.61","Turkey","Egirdir Lake","No","No"
"2","32.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=97117&sex=male&loo=32.20000&k=0.23200&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=21186&gm_lm_rl=1"">0.23</a>","0.09","M","","10.0","11.4","2.38","Turkey","Gelingüllü Reservoir, Yozgat, Anatolia (35°032?02?? E,39°36?30?? N; alt: 1050 m)","No","No"
"3","32.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=74692&sex=mixed&loo=32.50000&k=0.28200&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=9547&gm_lm_rl=1"">0.28</a>","-0.51","","","","","2.47","Greece","Lysimachia Lake","No","No"
"4","33.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=75137&sex=mixed&loo=33.30000&k=0.34600&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=9667&gm_lm_rl=1"">0.35</a>","-0.30","","","","","2.58","Turkey","Egirdir Lake","No","No"
"5","34.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=75137&sex=female&loo=34.20000&k=0.31600&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=9665&gm_lm_rl=1"">0.32</a>","-0.35","F","","","","2.57","Turkey","Egirdir Lake","No","No"
"6","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=74691&sex=mixed&loo=34.46000&k=0.29700&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=9544&gm_lm_rl=1"">0.30</a>","-1.99","","","","","2.55","Greece","Lake Chimaditis","No","No"
"7","36.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=97117&sex=female&loo=36.03000&k=0.21200&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=21187&gm_lm_rl=1"">0.21</a>","0.21","F","","10.0","13.2","2.44","Turkey","Gelingüllü Reservoir, Yozgat, Anatolia (35°032?02?? E,39°36?30?? N; alt: 1050 m)","No","No"
"8","40.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=40.00000&k=0.17300&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6590&gm_lm_rl=1"">0.17</a>","","","","","","2.44","Romania","Somova, Danube Delta","No","No"
"9","40.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=40.70000&k=0.18000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6583&gm_lm_rl=1"">0.18</a>","","","","","","2.47","Romania","Matita-Merhei, Danube Delta","No","No"
"10","41.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41817&sex=unsexed&loo=41.00000&k=0.19000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6575&gm_lm_rl=1"">0.19</a>","","","","","","2.50","Romania","Puiu-Rosu Lake, Danube delta","No","No"
"11","41.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41826&sex=unsexed&loo=41.50000&k=0.17500&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6591&gm_lm_rl=1"">0.18</a>","","","","","","2.48","Romania","Razim, Danube delta,","No","No"
"12","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=41.80000&k=0.23000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6584&gm_lm_rl=1"">0.23</a>","","","","","","2.60","Romania","Gorgova, Danube Delta","No","No"
"13","42.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=42.00000&k=0.18000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6587&gm_lm_rl=1"">0.18</a>","","","","","","2.50","Romania","Uzlina, Danube Delta","No","No"
"14","42.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41826&sex=unsexed&loo=42.40000&k=0.18000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6593&gm_lm_rl=1"">0.18</a>","","","","","","2.51","Romania","Sinoe, Danube Delta","No","No"
"15","45.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41817&sex=unsexed&loo=45.00000&k=0.12000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6574&gm_lm_rl=1"">0.12</a>","","","","","","2.39","Romania","Razim Lake, Danube delta","No","No"
"16","45.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=45.70000&k=0.18000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6582&gm_lm_rl=1"">0.18</a>","","","","","","2.58","Romania","Isacova, Danube Delta","No","No"
"17","46.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6695&pref=41818&sex=unsexed&loo=46.40000&k=0.23000&id2=6376&genusname=Carassius&speciesname=gibelio&gm_loo=39.968426860023&gm_lm=12.267028980157&gm_m=1&gm_k=0.21038344676039&vautoctr=6588&gm_lm_rl=1"">0.23</a>","","","","","","2.69","Romania","Trei lezere, Danube Delta","No","No"
