"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","21.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=32692&sex=female&loo=21.30000&k=0.45000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=5589&gm_lm_rl=1"">0.45</a>","","F","","","","2.31","India","","No","No"
"2","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=76867&sex=mixed&loo=24.00000&k=0.90000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=9794&gm_lm_rl=1"">0.90</a>","","","","26.0","","2.71","Bangladesh","Medi beel, Netrokona District","No","No"
"3","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=76867&sex=mixed&loo=24.00000&k=1.20000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=9793&gm_lm_rl=1"">1.20</a>","","","","26.0","","2.84","Bangladesh","Shapla beel, B.Baria District","No","No"
"4","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=76867&sex=unsexed&loo=24.00000&k=0.90000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=9792&gm_lm_rl=1"">0.90</a>","","","","26.0","","2.71","Bangladesh","Mara beel, Mymensingh District","No","No"
"5","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=76867&sex=unsexed&loo=24.00000&k=1.10000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=9790&gm_lm_rl=1"">1.10</a>","","","","26.0","","2.80","Bangladesh","Ashura beel, Dinajpur District","No","No"
"6","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=76867&sex=unsexed&loo=24.00000&k=1.20000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=9791&gm_lm_rl=1"">1.20</a>","","","","26.0","","2.84","Bangladesh","Dikshi beel, Pabna District","No","No"
"7","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=50795&sex=unsexed&loo=27.00000&k=1.10000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=7367&gm_lm_rl=1"">1.10</a>","","","","23.0","","2.90","Bangladesh","Tangail, River Brahmaputra (Jamuna)","No","No"
"8","28.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=50795&sex=unsexed&loo=28.00000&k=0.90000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=7366&gm_lm_rl=1"">0.90</a>","","","","23.0","","2.85","Bangladesh","Tangail, River Brahmaputra (Jamuna)","No","No"
"9","28.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=50795&sex=unsexed&loo=28.50000&k=0.85000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=7361&gm_lm_rl=1"">0.85</a>","","","","23.0","","2.84","Bangladesh","Tangail, River Brahmaputra (Jamuna)","No","No"
"10","29.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=50795&sex=unsexed&loo=29.00000&k=1.20000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=7365&gm_lm_rl=1"">1.20</a>","","","","23.0","","3.00","Bangladesh","Tangail, River Brahmaputra (Jamuna)","No","No"
"11","32.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5385&pref=32692&sex=male&loo=32.40000&k=0.20000&id2=5147&genusname=Channa&speciesname=punctata&gm_loo=25.842855413474&gm_lm=1&gm_m=1&gm_k=0.82253841199358&vautoctr=5588&gm_lm_rl=1"">0.20</a>","","M","","","","2.32","India","","No","No"
