"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","30.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=85837&sex=unsexed&loo=30.10000&k=0.39100&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=20981&gm_lm_rl=0.46091813698675"">0.39</a>","-0.92","","","","","2.55","Portugal","Óbidus Lagoon","No","No"
"2","34.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=27030&sex=male&loo=34.30000&k=0.32600&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3582&gm_lm_rl=0.46091813698675"">0.33</a>","-0.24","M","","14.0","","2.58","Greece","North Aegean Sea","No","No"
"3","35.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=27030&sex=female&loo=35.00000&k=0.32000&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3581&gm_lm_rl=0.46091813698675"">0.32</a>","-0.21","F","","14.0","","2.59","Greece","North Aegean Sea","No","No"
"4","37.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=27030&sex=mixed&loo=37.70000&k=0.20700&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3583&gm_lm_rl=0.46091813698675"">0.21</a>","-0.50","","","14.0","","2.47","Greece","Saronikos Gulf","No","No"
"5","44.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=312&sex=unsexed&loo=44.10000&k=0.28200&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3574&gm_lm_rl=0.46091813698675"">0.28</a>","-0.86","","","14.3","","2.74","Bulgaria","","No","No"
"6","46.6","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=5760&sex=unsexed&loo=46.60000&k=0.29000&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3578&gm_lm_rl=0.46091813698675"">0.29</a>","","","","22.0","","2.80","Egypt","Mediterranean","No","No"
"7","47.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=312&sex=unsexed&loo=47.10000&k=0.18800&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3575&gm_lm_rl=0.46091813698675"">0.19</a>","-1.33","","","","","2.62","Russia","Caspian Sea","No","No"
"8","49.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=5533&sex=unsexed&loo=49.10000&k=0.22000&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3577&gm_lm_rl=0.46091813698675"">0.22</a>","","","0.29","17.0","","2.72","Tunisia","","No","No"
"9","57.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=1049&sex=female&loo=57.40000&k=0.17000&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3576&gm_lm_rl=0.46091813698675"">0.17</a>","-0.51","F","","19.0","29.5","2.75","Tunisia","Tunisian lagoons","No","No"
"10","60.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=85837&sex=unsexed&loo=60.90000&k=0.11900&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=20982&gm_lm_rl=0.46091813698675"">0.12</a>","-0.42","","","","","2.64","UK No Ireld","Strangford Lough Sea, North Ireland","No","No"
"11","61.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=7253&sex=female&loo=61.80000&k=0.12100&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3579&gm_lm_rl=0.46091813698675"">0.12</a>","","F","","14.0","29.5","2.66","France","Thau, Gulf of Lion","No","No"
"12","61.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2693&pref=7253&sex=male&loo=61.80000&k=0.12000&id2=2499&genusname=Chelon&speciesname=labrosus&gm_loo=45.855551486556&gm_lm=27.916524342731&gm_m=0.29&gm_k=0.21231242040058&vautoctr=3580&gm_lm_rl=0.46091813698675"">0.12</a>","","M","","14.0","25.0","2.66","France","Thau, Gulf of Lion","No","No"
