"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","35.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=35.20000&k=0.25100&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5089&gm_lm_rl=1"">0.25</a>","-0.50","","","","","2.49","Canada","Ya Ya Esker Lakes (L25), Northwest Territories","Yes","No"
"2","43.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=43.50000&k=0.14700&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5088&gm_lm_rl=1"">0.15</a>","-1.53","","0.29","","","2.44","Canada","Ya Ya Esker Lakes (L24), Northwest Territories","No","No"
"3","45.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=45.90000&k=0.13800&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5519&gm_lm_rl=1"">0.14</a>","-0.82","","","","","2.46","Canada","Norman Wells, Northwest Territories","No","No"
"4","49.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=49.60000&k=0.20500&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5086&gm_lm_rl=1"">0.21</a>","-0.77","","","","","2.70","Canada","Tuktoyaktuk Harbor, Northwest Territories","No","No"
"5","53.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=53.20000&k=0.21300&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5068&gm_lm_rl=1"">0.21</a>","","","","","","2.78","Canada","Mackenzie River, Northwest Territories","No","No"
"6","60.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=60.10000&k=0.29800&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5521&gm_lm_rl=1"">0.30</a>","0.12","","","","","3.03","Alaska","Porcupine River","No","No"
"7","63.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=63.10000&k=0.22800&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5061&gm_lm_rl=1"">0.23</a>","0.11","","","","","2.96","Alaska","Holitna River","No","No"
"8","63.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=56455&sex=mixed&loo=63.10000&k=0.13000&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=8632&gm_lm_rl=1"">0.13</a>","0.10","","","","","2.71","Russia","Yamal peninsula","No","No"
"9","63.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=63.20000&k=0.12400&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5062&gm_lm_rl=1"">0.12</a>","-0.61","","","","","2.69","Alaska","Imuruk Basin","No","No"
"10","64.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=64.20000&k=0.11100&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5511&gm_lm_rl=1"">0.11</a>","-1.11","","","","","2.66","Canada","Freshwater Creek, Northwest Territories","No","No"
"11","65.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=65.20000&k=0.11700&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5052&gm_lm_rl=1"">0.12</a>","-1.78","","","","","2.70","Canada","Aklavik River, Northwest Territories","No","No"
"12","68.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=33362&sex=unsexed&loo=68.50000&k=0.19600&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=5515&gm_lm_rl=1"">0.20</a>","-0.10","","","","","2.96","Alaska","Minto Flats","No","No"
"13","69.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=56486&sex=mixed&loo=69.10000&k=0.14000&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=8666&gm_lm_rl=1"">0.14</a>","","","","","","2.83","Russia","Enisey river","No","No"
"14","69.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2870&pref=56502&sex=mixed&loo=69.20000&k=0.14000&id2=2674&genusname=Coregonus&speciesname=nasus&gm_loo=59.122124104125&gm_lm=1&gm_m=0.29&gm_k=0.16009588928333&vautoctr=8674&gm_lm_rl=1"">0.14</a>","-1.42","","","","","2.83","Russia","Enisey river","No","No"
