"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","26.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=6275&sex=unsexed&loo=26.00000&k=0.47800&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=1142&gm_lm_rl=0.74037754133638"">0.48</a>","-0.26","","","","","2.51","Finland","Lake Kuusamojärvi","No","No"
"2","26.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=26.10000&k=0.25400&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6170&gm_lm_rl=0.74037754133638"">0.25</a>","-1.16","","","9.0","20.0","2.24","Finland","Kemi, Baltic Sea","No","No"
"3","32.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=32.90000&k=0.19200&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6171&gm_lm_rl=0.74037754133638"">0.19</a>","-1.46","","","9.0","23.0","2.32","Finland","Oulu, Balti Sea","No","No"
"4","33.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=33.30000&k=0.24800&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6172&gm_lm_rl=0.74037754133638"">0.25</a>","-1.16","","","9.0","23.0","2.44","Finland","Kalajoki, Baltic Sea","No","No"
"5","34.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=6275&sex=unsexed&loo=34.70000&k=0.21200&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=1143&gm_lm_rl=0.74037754133638"">0.21</a>","-0.65","","","3.1","","2.41","Finland","Muojärvi, Kuusamo","No","No"
"6","37.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=37.00000&k=0.90600&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6178&gm_lm_rl=0.74037754133638"">0.91</a>","0.85","","","9.0","32.5","3.09","Finland","Pernaja, Baltic Sea","No","No"
"7","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=41.80000&k=0.38100&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6175&gm_lm_rl=0.74037754133638"">0.38</a>","-0.38","","0.89","9.0","34.5","2.82","Finland","Pori, Baltic Sea","No","No"
"8","43.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=43.90000&k=0.13900&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6174&gm_lm_rl=0.74037754133638"">0.14</a>","-3.91","","","9.0","31.0","2.43","Finland","Korsholm, Baltic Sea","No","No"
"9","61.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=56506&sex=mixed&loo=61.80000&k=0.12000&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=8700&gm_lm_rl=0.74037754133638"">0.12</a>","-1.49","","","","","2.66","Russia","Ladoga Lake","No","No"
"10","63.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=40417&pref=31670&sex=unsexed&loo=63.20000&k=0.18600&id2=48137&genusname=Coregonus&speciesname=widegreni&gm_loo=38.327734909617&gm_lm=28.397911789124&gm_m=0.7307530362578&gm_k=0.25811381790629&vautoctr=6176&gm_lm_rl=0.74037754133638"">0.19</a>","-1.86","","0.60","9.0","40.5","2.87","Finland","Aland, Baltic Sea","No","No"
