"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","15.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=91192&sex=male&loo=15.20000&k=0.47000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=10799&gm_lm_rl=1"">0.47</a>","-0.07","M","","","","2.04","Spain","Mallorca","No","No"
"2","15.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=91192&sex=female&loo=15.90000&k=0.45000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=10798&gm_lm_rl=1"">0.45</a>","-0.12","F","","","","2.06","Spain","Mallorca","No","No"
"3","17.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=26328&sex=unsexed&loo=17.10000&k=0.56000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=3193&gm_lm_rl=1"">0.56</a>","-0.02","","0.50","16.8","","2.21","France","Gulf of Lion","No","No"
"4","17.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=56747&sex=female&loo=17.20000&k=0.21000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=8798&gm_lm_rl=1"">0.21</a>","-1.73","F","","","11.2","1.79","Turkey","Edremit Gulf","No","No"
"5","18.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=96811&sex=mixed&loo=18.10000&k=0.34000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=21103&gm_lm_rl=1"">0.34</a>","-0.50","","","","","2.05","Egypt","Alexandria","No","No"
"6","18.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=56747&sex=male&loo=18.36000&k=0.14000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=8799&gm_lm_rl=1"">0.14</a>","-2.94","M","","","11.1","1.67","Turkey","Edremit Gulf","No","No"
"7","19.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=86724&sex=unsexed&loo=19.54000&k=0.46000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=10460&gm_lm_rl=1"">0.46</a>","","","","","","2.24","Algeria","Gulf d' Annaba","No","No"
"8","20.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=91421&sex=unsexed&loo=20.10000&k=0.21000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=10797&gm_lm_rl=1"">0.21</a>","-1.81","","","","","1.93","Greece","Thermaikos Gulf","No","No"
"9","20.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=26328&sex=unsexed&loo=20.40000&k=0.54400&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=3194&gm_lm_rl=1"">0.54</a>","-0.03","","0.49","18.0","","2.35","Spain","Catalan coast; M is for Medas Is., 1996-99","No","No"
"10","21.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1948&pref=57619&sex=mixed&loo=21.00000&k=0.25000&id2=1752&genusname=Diplodus&speciesname=annularis&gm_loo=20.397280126797&gm_lm=10.284475461468&gm_m=0.49497474683058&gm_k=0.24480100607658&vautoctr=8965&gm_lm_rl=1"">0.25</a>","-1.45","","","","","2.04","Turkey","Izmir Bay","No","No"
