"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","70.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=70.70000&k=0.31400&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10773&gm_lm_rl=1"">0.31</a>","-0.06","M","","","","3.20","Canada","Maskinonge Lake","No","No"
"2","81.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=female&loo=81.40000&k=0.22700&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10772&gm_lm_rl=1"">0.23</a>","0.32","F","","","","3.18","Canada","Maskinonge Lake","No","No"
"3","97.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=97.30000&k=0.18400&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10771&gm_lm_rl=1"">0.18</a>","-0.46","M","","","","3.24","Canada","Indian Lake","No","No"
"4","104.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=104.80000&k=0.22700&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10762&gm_lm_rl=1"">0.23</a>","-0.36","M","","","","3.40","Canada","Kawartha lakes","No","No"
"5","106.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=106.00000&k=0.21800&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10775&gm_lm_rl=1"">0.22</a>","-0.36","M","","","","3.39","Canada","Ontario","No","No"
"6","106.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=106.80000&k=0.22800&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10758&gm_lm_rl=1"">0.23</a>","-1.12","M","","","","3.42","Canada","Ottawa River","No","No"
"7","107.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=107.30000&k=0.20900&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10768&gm_lm_rl=1"">0.21</a>","-0.46","M","","","","3.38","Canada","Lake St. Clair","No","No"
"8","115.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=115.00000&k=0.17300&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10753&gm_lm_rl=1"">0.17</a>","-0.34","M","","","","3.36","Canada","Lac Seul, Ontario","No","No"
"9","115.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=115.10000&k=0.17300&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10760&gm_lm_rl=1"">0.17</a>","-0.34","M","","","","3.36","Canada","Eagle-Wabigoon lakes","No","No"
"10","115.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=male&loo=115.90000&k=0.20800&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10755&gm_lm_rl=1"">0.21</a>","-0.15","M","","","","3.45","Canada","St. Lawrence River, Ontario","No","No"
"11","116.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91180&sex=female&loo=116.70000&k=0.14300&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10770&gm_lm_rl=1"">0.14</a>","-0.54","F","","","","3.29","Canada","Indian Lake","No","No"
"12","121.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2907&pref=91182&sex=mixed&loo=121.70000&k=0.31200&id2=2711&genusname=Esox&speciesname=masquinongy&gm_loo=120.80162610496&gm_lm=1&gm_m=0.15&gm_k=0.17585486641264&vautoctr=10776&gm_lm_rl=1"">0.31</a>","-0.25","","","","","3.66","Canada","Green Bay","No","No"
