"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","10.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1263&sex=unsexed&loo=10.20000&k=1.50000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3945&gm_lm_rl=1"">1.50</a>","","","","28.2","","2.19","Philippines","Manila Bay","Yes","No"
"2","11.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=7328&sex=mixed&loo=11.50000&k=1.30000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3961&gm_lm_rl=1"">1.30</a>","","","3.88","25.0","9.1","2.24","Australia","Cleveland Bay, North Queensland","No","No"
"3","11.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=312&sex=unsexed&loo=11.70000&k=1.12000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3939&gm_lm_rl=1"">1.12</a>","","","","28.3","","2.19","Philippines","San Miguel Bay","No","No"
"4","11.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=312&sex=unsexed&loo=11.70000&k=1.20000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3940&gm_lm_rl=1"">1.20</a>","","","","28.3","","2.22","Philippines","San Miguel Bay","No","No"
"5","12.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1449&sex=unsexed&loo=12.20000&k=0.89000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3953&gm_lm_rl=1"">0.89</a>","","","","28.5","","2.12","Philippines","Ragay Gulf","No","No"
"6","12.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1263&sex=unsexed&loo=12.30000&k=0.70000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3946&gm_lm_rl=1"">0.70</a>","","","","28.2","","2.02","Philippines","Manila Bay","No","No"
"7","12.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1263&sex=unsexed&loo=12.40000&k=0.75000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3947&gm_lm_rl=1"">0.75</a>","","","","28.2","","2.06","Philippines","Manila Bay","No","No"
"8","13.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=312&sex=unsexed&loo=13.00000&k=1.60000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3941&gm_lm_rl=1"">1.60</a>","","","","28.3","","2.43","Philippines","San Miguel Bay","No","No"
"9","13.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1486&sex=unsexed&loo=13.10000&k=0.90000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3955&gm_lm_rl=1"">0.90</a>","","","","28.5","","2.19","Philippines","Samar Sea","No","No"
"10","13.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1263&sex=unsexed&loo=13.20000&k=0.76000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3948&gm_lm_rl=1"">0.76</a>","","","","28.2","","2.12","Philippines","Manila Bay","No","No"
"11","13.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=312&sex=unsexed&loo=13.50000&k=1.03000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3942&gm_lm_rl=1"">1.03</a>","","","","28.3","","2.27","Philippines","San Miguel Bay","No","No"
"12","14.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=1139&sex=unsexed&loo=14.00000&k=1.04000&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3944&gm_lm_rl=1"">1.04</a>","","","1.80","28.0","","2.31","Indonesia","Southern Kalimantan","No","No"
"13","14.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=2504&sex=unsexed&loo=14.00000&k=0.85700&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3956&gm_lm_rl=1"">0.86</a>","","","","28.2","","2.23","Philippines","Manila Bay","No","No"
"14","14.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4652&pref=2504&sex=unsexed&loo=14.00000&k=1.08300&id2=4454&genusname=Eubleekeria&speciesname=splendens&gm_loo=14.023618934463&gm_lm=9.1&gm_m=2.2792152240136&gm_k=0.91524485384292&vautoctr=3957&gm_lm_rl=1"">1.08</a>","0.05","","","28.2","","2.33","Philippines","Manila Bay","No","No"
