"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","53.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=53.70000&k=0.29000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6839&gm_lm_rl=0.46569679075881"">0.29</a>","-0.20","","","10.0","","2.92","","Southern Gulf of St. Lawrence","Yes","No"
"2","56.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=56.20000&k=0.24000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6840&gm_lm_rl=0.46569679075881"">0.24</a>","-0.54","","","10.0","11.0","2.88","","Southern Gulf of St. Lawrence","Yes","No"
"3","56.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=56.90000&k=0.25000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6841&gm_lm_rl=0.46569679075881"">0.25</a>","-0.38","","","10.0","","2.91","","Southern Gulf of St. Lawrence","Yes","No"
"4","64.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57821&pref=945&sex=unsexed&loo=64.00000&k=0.24000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=591&gm_lm_rl=0.46569679075881"">0.24</a>","","","","7.0","","2.99","","ICNAF Area 2H","Yes","No"
"5","65.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=945&sex=unsexed&loo=65.00000&k=0.31000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=592&gm_lm_rl=0.46569679075881"">0.31</a>","","","","7.0","","3.12","","ICNAF 2J","Yes","No"
"6","66.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=312&sex=unsexed&loo=66.40000&k=0.50100&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=560&gm_lm_rl=0.46569679075881"">0.50</a>","","","","7.0","","3.34","Canada","ICNAF 3K 51°N 53°W","Yes","No"
"7","66.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=312&sex=unsexed&loo=66.60000&k=0.41900&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=561&gm_lm_rl=0.46569679075881"">0.42</a>","","","","7.0","","3.27","Canada","ICNAF 3K 51°N 53°W","Yes","No"
"8","67.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=1139&sex=unsexed&loo=67.00000&k=0.28000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=600&gm_lm_rl=0.46569679075881"">0.28</a>","","","0.18","2.0","","3.10","","ICNAF 2F","Yes","No"
"9","67.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8484&pref=5939&sex=mixed&loo=67.70000&k=0.36800&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=4700&gm_lm_rl=0.46569679075881"">0.37</a>","0.53","","","3.1","","3.23","Denmark","Baltic, Belt Sea and Kiel Bay","No","No"
"10","67.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=67.80000&k=0.20000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6837&gm_lm_rl=0.46569679075881"">0.20</a>","-0.34","","","10.0","","2.96","","Southern Gulf of St. Lawrence","No","No"
"11","67.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=67.90000&k=0.23000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6838&gm_lm_rl=0.46569679075881"">0.23</a>","-0.02","","","10.0","","3.03","","Southern Gulf of St. Lawrence","No","No"
"12","68.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=312&sex=unsexed&loo=68.50000&k=0.24100&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=562&gm_lm_rl=0.46569679075881"">0.24</a>","-1.57","","","7.0","","3.05","Canada","ICNAF 2J 53°N 53°W","No","No"
"13","68.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=68.60000&k=0.17000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6831&gm_lm_rl=0.46569679075881"">0.17</a>","-0.65","","0.44","10.0","","2.90","","Southern Gulf of St. Lawrence","No","No"
"14","71.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=71.20000&k=0.20000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6836&gm_lm_rl=0.46569679075881"">0.20</a>","-0.22","","","10.0","","3.01","","Southern Gulf of St. Lawrence","No","No"
"15","72.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8485&pref=312&sex=unsexed&loo=72.80000&k=0.20900&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=4701&gm_lm_rl=0.46569679075881"">0.21</a>","","","","3.1","","3.04","Poland","Baltic, Gdansk Deep","No","No"
"16","73.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57821&pref=312&sex=unsexed&loo=73.30000&k=0.15400&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=563&gm_lm_rl=0.46569679075881"">0.15</a>","","","","7.0","","2.92","Canada","Labrador (200 m depth)","No","No"
"17","77.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=945&sex=unsexed&loo=77.00000&k=0.26000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=593&gm_lm_rl=0.46569679075881"">0.26</a>","","","","7.0","","3.19","","ICNAF 3K","No","No"
"18","78.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57827&pref=945&sex=unsexed&loo=78.00000&k=0.25000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=594&gm_lm_rl=0.46569679075881"">0.25</a>","","","","7.0","","3.18","Canada","ICNAF Pn","No","No"
"19","83.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57823&pref=312&sex=unsexed&loo=83.90000&k=0.24500&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=564&gm_lm_rl=0.46569679075881"">0.25</a>","","","","7.0","","3.24","","ICNAF 3L 46°N 47°W","No","No"
"20","87.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=312&sex=unsexed&loo=87.00000&k=0.31400&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=565&gm_lm_rl=0.46569679075881"">0.31</a>","","","","7.0","","3.38","Greenland","ICNAF 1B 66°N 54°W","No","No"
"21","87.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=87.30000&k=0.34000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11630&gm_lm_rl=0.46569679075881"">0.34</a>","2.59","","","1.4","","3.41","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
"22","90.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57828&pref=45090&sex=unsexed&loo=90.00000&k=0.09000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=6842&gm_lm_rl=0.46569679075881"">0.09</a>","-1.44","","","10.0","","2.86","","Southern Gulf of St. Lawrence","No","No"
"23","90.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=312&sex=unsexed&loo=90.60000&k=0.23600&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=566&gm_lm_rl=0.46569679075881"">0.24</a>","","","","7.0","","3.29","Greenland","ICNAF 1B 66°N 54°W  (200 m depth)","No","No"
"24","92.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=312&sex=unsexed&loo=92.30000&k=0.21800&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=567&gm_lm_rl=0.46569679075881"">0.22</a>","","","","5.0","","3.27","Greenland","Greenland, Southwest","No","No"
"25","95.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8485&pref=5916&sex=male&loo=95.40000&k=0.16300&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=4711&gm_lm_rl=0.46569679075881"">0.16</a>","-0.01","M","","3.1","","3.17","Germany","Baltic, Bornholm Basin","No","No"
"26","95.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56735&pref=312&sex=unsexed&loo=95.90000&k=0.28400&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=568&gm_lm_rl=0.46569679075881"">0.28</a>","","","","4.5","","3.42","Norway","Lofoten (200 m depth)","No","No"
"27","96.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8485&pref=5916&sex=female&loo=96.60000&k=0.16900&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=4710&gm_lm_rl=0.46569679075881"">0.17</a>","0.02","F","","3.1","","3.20","Germany","Baltic, Bornholm Basin","No","No"
"28","97.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=97.50000&k=0.26800&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11633&gm_lm_rl=0.46569679075881"">0.27</a>","2.89","","","1.9","","3.41","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
"29","98.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57824&pref=945&sex=unsexed&loo=98.00000&k=0.15000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=595&gm_lm_rl=0.46569679075881"">0.15</a>","","","","7.0","","3.16","Canada","ICNAF 3M","No","No"
"30","98.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56740&pref=27256&sex=unsexed&loo=98.50000&k=0.39000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=8330&gm_lm_rl=0.46569679075881"">0.39</a>","","","","13.0","60.9","3.58","Ireland","Irish Sea","No","No"
"31","98.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57832&pref=312&sex=unsexed&loo=98.80000&k=0.28100&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=569&gm_lm_rl=0.46569679075881"">0.28</a>","","","","11.5","","3.44","USA","Southern New England (200 m depth)","No","No"
"32","99.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=99.00000&k=0.31300&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11623&gm_lm_rl=0.46569679075881"">0.31</a>","2.60","","","0.3","","3.49","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
"33","99.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=99.40000&k=0.20200&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11627&gm_lm_rl=0.46569679075881"">0.20</a>","1.06","","","1.7","","3.30","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
"34","99.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8485&pref=1139&sex=unsexed&loo=99.50000&k=0.20000&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=4707&gm_lm_rl=0.46569679075881"">0.20</a>","","","0.44","6.0","","3.30","Denmark","Baltic, Bornholm Deep","No","No"
"35","99.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=312&sex=unsexed&loo=99.90000&k=0.20900&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=570&gm_lm_rl=0.46569679075881"">0.21</a>","-0.47","","","1.0","","3.32","Greenland","Southeast and Southwest","No","No"
"36","101.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=101.00000&k=0.15300&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11629&gm_lm_rl=0.46569679075881"">0.15</a>","0.66","","","1.9","","3.19","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
"37","101.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56736&pref=93911&sex=unsexed&loo=101.00000&k=0.17600&id2=69&genusname=Gadus&speciesname=morhua&gm_loo=105.9809425678&gm_lm=49.231672692491&gm_m=0.25569580437403&gm_k=0.16769364441403&vautoctr=11612&gm_lm_rl=0.46569679075881"">0.18</a>","0.06","","","2.3","","3.25","Greenland","ICES Div. XIVb and NAFO Div. 1B-1F","No","No"
