"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","99.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=5897&sex=male&loo=99.80000&k=0.19100&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=7131&gm_lm_rl=1"">0.19</a>","0.67","M","","15.0","","3.28","Namibia","Walvis stock","No","No"
"2","101.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=5760&sex=unsexed&loo=101.00000&k=0.17000&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1769&gm_lm_rl=1"">0.17</a>","","","","15.0","","3.24","South Africa","Southeast Atlantic","No","No"
"3","107.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=5897&sex=male&loo=107.00000&k=0.18900&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=7133&gm_lm_rl=1"">0.19</a>","1.11","M","","15.0","","3.34","South Africa","Cape stock","Yes","No"
"4","125.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=7235&sex=male&loo=125.00000&k=0.14800&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1773&gm_lm_rl=1"">0.15</a>","","M","","15.0","","3.36","South Africa","West coast","No","No"
"5","130.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=7235&sex=male&loo=130.00000&k=0.14900&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1774&gm_lm_rl=1"">0.15</a>","","M","","18.0","","3.40","South Africa","South coast","No","No"
"6","133.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=7235&sex=female&loo=133.00000&k=0.13500&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1771&gm_lm_rl=1"">0.14</a>","","F","","15.0","","3.38","South Africa","West coast","No","No"
"7","138.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=5897&sex=female&loo=138.00000&k=0.10800&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=7132&gm_lm_rl=1"">0.11</a>","0.13","F","","15.0","","3.31","Namibia","Walvis stock","No","No"
"8","142.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=7235&sex=female&loo=142.00000&k=0.13800&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1772&gm_lm_rl=1"">0.14</a>","","F","","18.0","","3.44","South Africa","South coast","No","No"
"9","151.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=3669&sex=unsexed&loo=151.00000&k=0.11200&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=1768&gm_lm_rl=1"">0.11</a>","","","","15.0","","3.41","South Africa","","No","No"
"10","166.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=499&pref=5897&sex=female&loo=166.00000&k=0.09060&id2=485&genusname=Genypterus&speciesname=capensis&gm_loo=127.60841561775&gm_lm=1&gm_m=1&gm_k=0.13935979240794&vautoctr=7134&gm_lm_rl=1"">0.09</a>","0.39","F","","15.0","","3.40","South Africa","Cape stock","No","No"
