"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","20.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=58187&sex=unsexed&loo=20.10000&k=0.23000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=9172&gm_lm_rl=0.71972216712717"">0.23</a>","","","","","","1.97","Algeria","Beni-Saf","Yes","No"
"2","21.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=1230&sex=unsexed&loo=21.20000&k=0.21000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=612&gm_lm_rl=0.71972216712717"">0.21</a>","-0.85","","","14.0","","1.97","Algeria","off Algier, Mediterranean","Yes","No"
"3","26.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=96728&sex=mixed&loo=26.10000&k=0.14000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=21267&gm_lm_rl=0.71972216712717"">0.14</a>","-1.92","","","","","1.98","Italy","southern Tyrrhenian Sea (100-600 m depth)","No","No"
"4","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=56719&sex=female&loo=27.00000&k=0.16000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=8797&gm_lm_rl=0.71972216712717"">0.16</a>","-1.62","F","","","","2.07","Spain","Balearic Islands","No","No"
"5","27.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=56719&sex=female&loo=27.10000&k=0.12000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=8795&gm_lm_rl=0.71972216712717"">0.12</a>","-2.65","F","","","","1.95","Spain","Alboran Sea","No","No"
"6","29.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=41452&sex=mixed&loo=29.00000&k=0.09800&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=6543&gm_lm_rl=0.71972216712717"">0.10</a>","-2.79","","","11.0","","1.92","France","Southern Brittany (100-1100 m depth)","No","No"
"7","30.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=58237&sex=unsexed&loo=30.70000&k=0.15600&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=9185&gm_lm_rl=0.71972216712717"">0.16</a>","-0.93","","","","","2.17","Italy","Ionian Sea","No","No"
"8","31.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=31150&sex=female&loo=31.00000&k=0.09000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=4966&gm_lm_rl=0.71972216712717"">0.09</a>","","F","0.12","20.0","23.0","1.94","","Rockall Trough","No","No"
"9","32.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=56719&sex=male&loo=32.30000&k=0.09000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=8794&gm_lm_rl=0.71972216712717"">0.09</a>","-3.31","M","","","","1.97","Spain","Alboran Sea","No","No"
"10","32.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=85&pref=56719&sex=male&loo=32.50000&k=0.10000&id2=76&genusname=Helicolenus&speciesname=dactylopterus&gm_loo=36.033672302356&gm_lm=24.454038521275&gm_m=0.12&gm_k=0.11677292148837&vautoctr=8796&gm_lm_rl=0.71972216712717"">0.10</a>","-2.62","M","","","","2.02","Spain","Balearic Islands","No","No"
