"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","78.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=male&loo=78.10000&k=0.28100&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3492&gm_lm_rl=1"">0.28</a>","-0.51","M","","","","3.23","Chad","Lake Chad","No","No"
"2","95.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=female&loo=95.30000&k=0.19100&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3491&gm_lm_rl=1"">0.19</a>","-0.74","F","","","","3.24","Chad","Lake Chad","No","No"
"3","101.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=unsexed&loo=101.00000&k=0.14700&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3493&gm_lm_rl=1"">0.15</a>","-0.23","","","","","3.18","Uganda","Lake Albert","No","No"
"4","102.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=unsexed&loo=102.00000&k=0.14000&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3494&gm_lm_rl=1"">0.14</a>","-0.23","","","","","3.16","Egypt","Lake Nasser","No","No"
"5","103.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=26923&sex=unsexed&loo=103.00000&k=0.22000&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3500&gm_lm_rl=1"">0.22</a>","-0.56","","","","","3.37","Burkina Faso","Sourou reservoir","No","No"
"6","106.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=unsexed&loo=106.00000&k=0.22400&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3495&gm_lm_rl=1"">0.22</a>","-0.29","","","","","3.40","Niger","Niger-Bénoué","No","No"
"7","107.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=26112&sex=unsexed&loo=107.00000&k=0.39900&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3499&gm_lm_rl=1"">0.40</a>","","","","","","3.66","Nigeria","","Yes","No"
"8","151.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=9527&sex=unsexed&loo=151.00000&k=0.22000&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3498&gm_lm_rl=1"">0.22</a>","","","","27.0","","3.70","Congo Dem Rp","Malebo pool, Zaire River","Yes","No"
"9","155.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=unsexed&loo=155.00000&k=0.08600&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3496&gm_lm_rl=1"">0.09</a>","-0.75","","","","","3.32","Chad","Chari River","Yes","No"
"10","159.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2582&pref=5156&sex=unsexed&loo=159.00000&k=0.06500&id2=2388&genusname=Heterotis&speciesname=niloticus&gm_loo=112.79499043482&gm_lm=1&gm_m=1&gm_k=0.17485027275351&vautoctr=3497&gm_lm_rl=1"">0.07</a>","-1.35","","","","","3.22","Kenya","Lake Turkana","Yes","No"
