"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","16.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=7328&sex=mixed&loo=16.00000&k=0.35400&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3932&gm_lm_rl=0.40000000596046"">0.35</a>","-0.46","","","25.0","","1.96","Australia","Cleveland Bay, North Queensland","Yes","No"
"2","20.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=1449&sex=unsexed&loo=20.50000&k=1.08000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3924&gm_lm_rl=0.40000000596046"">1.08</a>","","","","28.7","","2.66","Philippines","Ragay Gulf","No","No"
"3","21.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=312&sex=unsexed&loo=21.10000&k=1.88000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3920&gm_lm_rl=0.40000000596046"">1.88</a>","","","","28.5","8.4","2.92","Madagascar","Ambaro Bay","No","No"
"4","21.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=312&sex=unsexed&loo=21.20000&k=1.73000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3921&gm_lm_rl=0.40000000596046"">1.73</a>","","","","28.5","8.4","2.89","Madagascar","Ambaro Bay","No","No"
"5","21.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=1314&sex=unsexed&loo=21.50000&k=1.50000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3923&gm_lm_rl=0.40000000596046"">1.50</a>","","","","28.0","","2.84","Indonesia","Java Sea (Central Java)","No","No"
"6","22.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=5339&sex=unsexed&loo=22.00000&k=0.92500&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3927&gm_lm_rl=0.40000000596046"">0.93</a>","","","","21.0","","2.65","Mozambique","Maputo Bay","No","No"
"7","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=52132&sex=unsexed&loo=22.00000&k=0.75000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=7709&gm_lm_rl=0.40000000596046"">0.75</a>","","","","28.0","","2.56","Brunei Darsm","","No","No"
"8","22.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=5339&sex=unsexed&loo=22.50000&k=0.67000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3928&gm_lm_rl=0.40000000596046"">0.67</a>","","","","21.0","","2.53","Mozambique","Maputo Bay","No","No"
"9","23.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=5381&sex=unsexed&loo=23.00000&k=0.73000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3931&gm_lm_rl=0.40000000596046"">0.73</a>","","","","28.7","","2.59","Philippines","Visayas","No","No"
"10","23.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=5339&sex=unsexed&loo=23.50000&k=0.80000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3929&gm_lm_rl=0.40000000596046"">0.80</a>","","","","21.0","","2.65","Mozambique","Maputo Bay","No","No"
"11","24.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=1486&sex=unsexed&loo=24.00000&k=0.56000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3926&gm_lm_rl=0.40000000596046"">0.56</a>","","","","28.5","","2.51","Philippines","Samar Sea","No","No"
"12","24.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=1263&sex=unsexed&loo=24.80000&k=1.28000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3922&gm_lm_rl=0.40000000596046"">1.28</a>","","","","28.5","","2.90","Philippines","Samar Sea","No","No"
"13","25.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=5339&sex=unsexed&loo=25.00000&k=0.95000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3930&gm_lm_rl=0.40000000596046"">0.95</a>","","","","21.0","","2.77","Mozambique","Maputo Bay","No","No"
"14","27.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4649&pref=1449&sex=unsexed&loo=27.50000&k=1.25000&id2=4451&genusname=Leiognathus&speciesname=equulus&gm_loo=22.316223467131&gm_lm=8.35&gm_m=1&gm_k=0.9416486587187&vautoctr=3925&gm_lm_rl=0.40000000596046"">1.25</a>","","","","28.7","","2.98","Philippines","Samar Sea","No","No"
