"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","44.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=44.10000&k=0.55000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9499&gm_lm_rl=1"">0.55</a>","0.07","","","","","3.03","Australia","GBR, Townsville, Faraday Reef ","Yes","No"
"2","45.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=45.00000&k=0.61000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9497&gm_lm_rl=1"">0.61</a>","0.61","","","","","3.09","Australia","GBR, Townsville,   Dip Reef","Yes","No"
"3","45.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=2290&sex=female&loo=45.70000&k=0.27000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=3315&gm_lm_rl=1"">0.27</a>","","F","","24.0","","2.75","New Caledonia","","No","No"
"4","45.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=45.90000&k=0.56000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9498&gm_lm_rl=1"">0.56</a>","1.18","","","","","3.07","Australia","GBR, Townsville, Yankee Reef","Yes","No"
"5","46.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=46.10000&k=0.43000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9496&gm_lm_rl=1"">0.43</a>","-0.24","","0.44","","","2.96","Australia","GBR, Townsville,  Glow Reef ","Yes","No"
"6","48.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=48.10000&k=0.29000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9502&gm_lm_rl=1"">0.29</a>","","","0.57","","","2.83","Australia","GBR, Storm Cay","No","No"
"7","48.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=2290&sex=male&loo=48.90000&k=0.26000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=3316&gm_lm_rl=1"">0.26</a>","","M","","24.0","","2.79","New Caledonia","","No","No"
"8","51.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=51.50000&k=0.23000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9500&gm_lm_rl=1"">0.23</a>","-1.96","","1.06","","","2.79","Australia","GBR, Mackay Region ","No","No"
"9","52.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=36828&sex=mixed&loo=52.10000&k=0.23000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=5905&gm_lm_rl=1"">0.23</a>","-1.43","","","24.8","","2.80","Australia","GBR Capricorn Bunker","No","No"
"10","58.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=2287&sex=unsexed&loo=58.50000&k=0.17000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=3314&gm_lm_rl=1"">0.17</a>","-2.26","","","25.8","","2.76","Australia","North Queensland Barrier Reef waters","No","No"
"11","58.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=74374&sex=unsexed&loo=58.60000&k=0.12000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=9501&gm_lm_rl=1"">0.12</a>","-4.46","","","","","2.61","Australia","GBR, Mackay, Bax Reef","No","No"
"12","70.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=2296&sex=male&loo=70.00000&k=0.10000&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=3318&gm_lm_rl=1"">0.10</a>","-2.36","M","","12.5","","2.69","Norfolk I.","","No","No"
"13","83.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2054&pref=2296&sex=female&loo=83.00000&k=0.05600&id2=1858&genusname=Lethrinus&speciesname=miniatus&gm_loo=52.689466508366&gm_lm=1&gm_m=0.64300023622413&gm_k=0.24233277335676&vautoctr=3317&gm_lm_rl=1"">0.06</a>","-4.60","F","","12.5","","2.59","Norfolk I.","","Yes","No"
