"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","48.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=1450&sex=unsexed&loo=48.00000&k=0.39000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3273&gm_lm_rl=1"">0.39</a>","","","","25.8","","2.95","Australia","Great Barrier Reef, off Queensland","No","No"
"2","50.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2291&sex=unsexed&loo=50.20000&k=0.21000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3278&gm_lm_rl=1"">0.21</a>","","","","23.0","","2.72","Fiji","Northern Division","No","No"
"3","52.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2297&sex=female&loo=52.70000&k=0.12700&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3285&gm_lm_rl=1"">0.13</a>","-1.16","F","","27.0","","2.55","Australia","Northwest coast","No","No"
"4","55.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=12149&sex=unsexed&loo=55.50000&k=0.22000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3293&gm_lm_rl=1"">0.22</a>","","","","23.0","","2.83","New Caledonia","","No","No"
"5","55.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=3679&sex=unsexed&loo=55.80000&k=0.31000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3288&gm_lm_rl=1"">0.31</a>","","","","29.0","","2.98","Papua New Guinea","Kavieng","No","No"
"6","57.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=12149&sex=male&loo=57.60000&k=0.58800&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3292&gm_lm_rl=1"">0.59</a>","","M","","26.0","","3.29","Australia","","Yes","No"
"7","57.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2290&sex=male&loo=57.90000&k=0.22000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3277&gm_lm_rl=1"">0.22</a>","","M","","24.0","","2.87","New Caledonia","","No","No"
"8","58.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=12149&sex=female&loo=58.50000&k=0.74300&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3291&gm_lm_rl=1"">0.74</a>","","F","","26.0","","3.41","Australia","","Yes","No"
"9","61.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2297&sex=male&loo=61.10000&k=0.10600&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3286&gm_lm_rl=1"">0.11</a>","-0.88","M","","27.0","","2.60","Australia","Northwest coast","Yes","No"
"10","61.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=3679&sex=unsexed&loo=61.40000&k=0.34000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3289&gm_lm_rl=1"">0.34</a>","","","","23.0","","3.11","Fiji","Central Division, 1984","No","No"
"11","61.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=3679&sex=unsexed&loo=61.50000&k=0.36000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3290&gm_lm_rl=1"">0.36</a>","","","","23.0","","3.13","Fiji","Western Division","No","No"
"12","61.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2290&sex=female&loo=61.70000&k=0.21000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3276&gm_lm_rl=1"">0.21</a>","","F","","24.0","","2.90","New Caledonia","","No","No"
"13","62.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2291&sex=unsexed&loo=62.30000&k=0.17000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3279&gm_lm_rl=1"">0.17</a>","","","","23.0","","2.82","Fiji","Western Division","No","No"
"14","62.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2295&sex=unsexed&loo=62.70000&k=0.19000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3283&gm_lm_rl=1"">0.19</a>","","","","24.8","","2.87","Kuwait","Northern Persian Gulf","No","No"
"15","62.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2298&sex=unsexed&loo=62.70000&k=0.19000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3287&gm_lm_rl=1"">0.19</a>","-0.04","","","26.0","","2.87","Kuwait","","No","No"
"16","64.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=2291&sex=unsexed&loo=64.60000&k=0.16000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=3280&gm_lm_rl=1"">0.16</a>","","","","23.0","","2.82","Fiji","Central Division","No","No"
"17","65.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=94052&sex=female&loo=65.20000&k=0.11000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=11707&gm_lm_rl=1"">0.11</a>","-2.90","F","","","27.6","2.67","United Arab Em.","off Abu Dhabi","No","No"
"18","69.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2042&pref=94052&sex=male&loo=69.90000&k=0.10000&id2=1846&genusname=Lethrinus&speciesname=nebulosus&gm_loo=64.613325778236&gm_lm=28.095551249264&gm_m=1&gm_k=0.19944689864957&vautoctr=11706&gm_lm_rl=1"">0.10</a>","-3.30","M","","","28.6","2.69","United Arab Em.","off Abu Dhabi","No","No"
