"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","32.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=97181&sex=male&loo=32.80000&k=0.19000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=21304&gm_lm_rl=0.56124859580308"">0.19</a>","-2.24","M","","","","2.31","Alaska","Gulf of Alaska","No","No"
"2","33.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=97182&sex=male&loo=33.70000&k=0.16100&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=21305&gm_lm_rl=0.56124859580308"">0.16</a>","-0.11","M","","","","2.26","Alaska","Aleutian Islands","No","No"
"3","37.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=97182&sex=female&loo=37.80000&k=0.13700&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=21306&gm_lm_rl=0.56124859580308"">0.14</a>","0.11","F","","","","2.29","Alaska","Aleutian Islands","No","No"
"4","38.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=97181&sex=female&loo=38.20000&k=0.14000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=21307&gm_lm_rl=0.56124859580308"">0.14</a>","-2.18","F","","","","2.31","Alaska","Gulf of Alaska","No","No"
"5","43.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=11063&sex=female&loo=43.10000&k=0.10000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=1825&gm_lm_rl=0.56124859580308"">0.10</a>","","F","","4.0","30.0","2.27","Alaska","East bering Sea","No","No"
"6","43.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=56370&sex=mixed&loo=43.40000&k=0.19000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=8568&gm_lm_rl=0.56124859580308"">0.19</a>","0.18","","","","","2.55","Russia","Peter the Great Bay","No","No"
"7","43.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=56370&sex=mixed&loo=43.60000&k=0.12000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=8569&gm_lm_rl=0.56124859580308"">0.12</a>","-0.23","","","","","2.36","Russia","Tatar Strait","No","No"
"8","43.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=59366&sex=unsexed&loo=43.60000&k=0.14000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=9605&gm_lm_rl=0.56124859580308"">0.14</a>","-0.17","","","","","2.43","Russia","Sakhalin Isl.","No","No"
"9","47.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=56370&sex=mixed&loo=47.30000&k=0.14000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=8570&gm_lm_rl=0.56124859580308"">0.14</a>","0.38","","","","","2.50","Russia","Southwestern Sakhalin","No","No"
"10","52.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=56370&sex=mixed&loo=52.00000&k=0.09000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=8571&gm_lm_rl=0.56124859580308"">0.09</a>","-0.26","","","","","2.39","Russia","Terpeniya Bay","No","No"
"11","52.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=312&sex=female&loo=52.20000&k=0.14800&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=1823&gm_lm_rl=0.56124859580308"">0.15</a>","","F","","0.0","23.5","2.61","Russia","Peter the Great Bay (exploited)","No","No"
"12","58.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=56370&sex=mixed&loo=58.00000&k=0.08000&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=8572&gm_lm_rl=0.56124859580308"">0.08</a>","-0.42","","","","","2.43","USA","Southeastern Bering Sea","No","No"
"13","74.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=536&pref=312&sex=male&loo=74.40000&k=0.08500&id2=520&genusname=Limanda&speciesname=aspera&gm_loo=45.046030156008&gm_lm=26.551836094703&gm_m=1&gm_k=0.12759035817363&vautoctr=1824&gm_lm_rl=0.56124859580308"">0.09</a>","","M","","0.0","","2.67","Russia","Peter the Great Bay (virgin)","No","No"
