"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","7.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5390&sex=unsexed&loo=7.00000&k=5.40000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2990&gm_lm_rl=1"">5.40</a>","","","","25.0","","2.42","Mozambique","Cahora Bassa Reservoir","No","No"
"2","7.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5390&sex=unsexed&loo=7.40000&k=3.04800&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2991&gm_lm_rl=1"">3.05</a>","","","","24.0","","2.22","Zimbabwe","Lake Kariba","No","No"
"3","8.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5390&sex=unsexed&loo=8.10000&k=1.74000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2992&gm_lm_rl=1"">1.74</a>","","","","24.0","","2.06","Zimbabwe","Lake Kariba","No","No"
"4","9.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5409&sex=unsexed&loo=9.60000&k=1.50000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2995&gm_lm_rl=1"">1.50</a>","","","","","","2.14","Tanzania","Kigoma, Lake Tanganyika","No","No"
"5","11.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5390&sex=unsexed&loo=11.50000&k=2.16000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2993&gm_lm_rl=1"">2.16</a>","","","","","","2.46","Congo Dem Rp","Lake Tanganyika","No","No"
"6","13.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5309&sex=unsexed&loo=13.50000&k=0.95000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2989&gm_lm_rl=1"">0.95</a>","","","0.70","24.0","","2.24","Zimbabwe","Lake Kariba","No","No"
"7","13.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=10396&sex=unsexed&loo=13.50000&k=1.15000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=3000&gm_lm_rl=1"">1.15</a>","","","","","","2.32","Congo Dem Rp","Northwestern Lake Tanganyik","No","No"
"8","14.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5390&sex=unsexed&loo=14.50000&k=1.20000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2994&gm_lm_rl=1"">1.20</a>","","","","","","2.40","Rwanda","Lake Kivu","No","No"
"9","15.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=10396&sex=unsexed&loo=15.50000&k=0.86200&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=3001&gm_lm_rl=1"">0.86</a>","-0.02","","","","","2.32","Zambia","Lake Tanganyika","No","No"
"10","16.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5409&sex=unsexed&loo=16.10000&k=1.12000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2996&gm_lm_rl=1"">1.12</a>","","","","","","2.46","Burundi","Lake Tanganyika","No","No"
"11","16.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5409&sex=unsexed&loo=16.50000&k=1.15000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2997&gm_lm_rl=1"">1.15</a>","","","","","","2.50","Burundi","Lake Tanganyika","No","No"
"12","17.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5409&sex=unsexed&loo=17.20000&k=1.14000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2998&gm_lm_rl=1"">1.14</a>","","","","","","2.53","Burundi","Lake Tanganyika","No","No"
"13","17.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1743&pref=5409&sex=unsexed&loo=17.20000&k=1.31000&id2=1550&genusname=Limnothrissa&speciesname=miodon&gm_loo=12.310355657145&gm_lm=1&gm_m=0.7&gm_k=1.5041286931057&vautoctr=2999&gm_lm_rl=1"">1.31</a>","","","","","","2.59","Burundi","Lake Tanganyika","No","No"
