"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=27030&sex=mixed&loo=23.20000&k=0.24300&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3190&gm_lm_rl=0.38961520605044"">0.24</a>","-0.21","","","19.0","","2.12","Greece","Saronikos Gulf","No","No"
"2","26.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=27030&sex=male&loo=26.70000&k=0.32400&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3189&gm_lm_rl=0.38961520605044"">0.32</a>","-0.34","M","","19.0","","2.36","Greece","North Aegean Sea","No","No"
"3","29.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=27030&sex=female&loo=29.40000&k=0.27800&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3188&gm_lm_rl=0.38961520605044"">0.28</a>","-0.41","F","","19.0","","2.38","Greece","North Aegean Sea","No","No"
"4","32.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=56795&sex=mixed&loo=32.90000&k=0.26000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=8832&gm_lm_rl=0.38961520605044"">0.26</a>","-0.47","","","","","2.45","Greece","Messolonghi-Etoliko lagoon","No","No"
"5","34.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=56523&sex=mixed&loo=34.10000&k=0.39000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=8727&gm_lm_rl=0.38961520605044"">0.39</a>","0.11","","","","","2.66","Russia","Caspian Sea","No","No"
"6","34.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=312&sex=unsexed&loo=34.30000&k=0.20800&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3184&gm_lm_rl=0.38961520605044"">0.21</a>","-0.48","","","","","2.39","Russia","","No","No"
"7","34.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=50004&sex=male&loo=34.30000&k=0.26000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=8957&gm_lm_rl=0.38961520605044"">0.26</a>","-0.44","M","","","","2.49","Spain","Albufera des Grau Lagoon","No","No"
"8","36.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=312&sex=male&loo=36.50000&k=0.28800&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3183&gm_lm_rl=0.38961520605044"">0.29</a>","-1.23","M","","19.0","","2.58","Egypt","Lake Quarum (brackish)","No","No"
"9","38.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=50004&sex=female&loo=38.70000&k=0.20000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=8956&gm_lm_rl=0.38961520605044"">0.20</a>","-0.31","F","","","","2.48","Spain","Albufera des Grau Lagoon","No","No"
"10","39.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=5533&sex=unsexed&loo=39.40000&k=0.34000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3185&gm_lm_rl=0.38961520605044"">0.34</a>","","","0.34","17.0","","2.72","Tunisia","","No","No"
"11","41.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=312&sex=female&loo=41.90000&k=0.19500&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3182&gm_lm_rl=0.38961520605044"">0.20</a>","-1.90","F","","19.0","","2.53","Egypt","Lake Quarum (brackish)","No","No"
"12","45.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=7253&sex=male&loo=45.30000&k=0.17000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3187&gm_lm_rl=0.38961520605044"">0.17</a>","","M","","19.0","21.0","2.54","France","Berre, Gulf of Lion","No","No"
"13","66.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1932&pref=7253&sex=female&loo=66.30000&k=0.10000&id2=1736&genusname=Liza&speciesname=saliens&gm_loo=35.963535256198&gm_lm=21.494185260205&gm_m=0.34&gm_k=0.23783797794063&vautoctr=3186&gm_lm_rl=0.38961520605044"">0.10</a>","","F","","19.0","22.0","2.64","France","Berre, Gulf of Lion","No","No"
