"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","60.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3111&sex=unsexed&loo=60.00000&k=0.35000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2712&gm_lm_rl=0.61000001430511"">0.35</a>","","","","22.5","36.5","3.10","USA","Florida","Yes","No"
"2","63.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=72458&sex=unsexed&loo=63.00000&k=0.20000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=9541&gm_lm_rl=0.61000001430511"">0.20</a>","","","","","","2.90","","","Yes","No"
"3","77.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46269&sex=female&loo=77.20000&k=0.18000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6967&gm_lm_rl=0.61000001430511"">0.18</a>","0.00","F","","26.0","","3.03","USA","Northern Gulf of Mexico","No","No"
"4","84.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46269&sex=female&loo=84.20000&k=0.17000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6969&gm_lm_rl=0.61000001430511"">0.17</a>","0.58","F","","26.0","","3.08","USA","Northern Gulf of Mexico","No","No"
"5","85.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46269&sex=male&loo=85.90000&k=0.09000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6970&gm_lm_rl=0.61000001430511"">0.09</a>","2.21","M","","26.0","","2.82","USA","Northern Gulf of Mexico","Yes","No"
"6","87.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46265&sex=unsexed&loo=87.30000&k=0.24000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6948&gm_lm_rl=0.61000001430511"">0.24</a>","0.73","","","26.0","","3.26","USA","Louisiana","No","No"
"7","88.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46265&sex=unsexed&loo=88.40000&k=0.21000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6947&gm_lm_rl=0.61000001430511"">0.21</a>","0.63","","","26.0","","3.22","USA","Alabama","No","No"
"8","90.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=43644&sex=male&loo=90.40000&k=0.19000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=10104&gm_lm_rl=0.61000001430511"">0.19</a>","-0.48","M","","","","3.19","USA","northern Gulf of Mexico","No","No"
"9","90.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=11692&sex=unsexed&loo=90.80000&k=0.13000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2720&gm_lm_rl=0.61000001430511"">0.13</a>","","","","22.5","","3.03","Mexico","Campeche Bank","No","No"
"10","91.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=46269&sex=female&loo=91.30000&k=0.16000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6968&gm_lm_rl=0.61000001430511"">0.16</a>","0.72","F","","26.0","","3.13","USA","Northern Gulf of Mexico","No","No"
"11","92.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=11693&sex=unsexed&loo=92.00000&k=0.12000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2721&gm_lm_rl=0.61000001430511"">0.12</a>","","","","22.5","","3.01","Mexico","Tamaulipas, Gulf of Mexico","No","No"
"12","92.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=11687&sex=unsexed&loo=92.50000&k=0.14000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2718&gm_lm_rl=0.61000001430511"">0.14</a>","","","","22.5","","3.08","USA","Flower Garden Banks, Gulf of Mexico","No","No"
"13","93.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=11690&sex=unsexed&loo=93.30000&k=0.15000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2719&gm_lm_rl=0.61000001430511"">0.15</a>","","","","22.5","","3.12","Mexico","Campeche Bank","No","No"
"14","93.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=43300&sex=unsexed&loo=93.80000&k=0.17500&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6791&gm_lm_rl=0.61000001430511"">0.18</a>","-0.53","","","26.0","","3.19","USA","northwest Gulf of Mexico","No","No"
"15","94.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3112&sex=unsexed&loo=94.10000&k=0.17000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2714&gm_lm_rl=0.61000001430511"">0.17</a>","-0.10","","0.20","22.0","","3.18","USA","West Florida","No","No"
"16","95.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3112&sex=unsexed&loo=95.00000&k=0.17500&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2715&gm_lm_rl=0.61000001430511"">0.18</a>","0.10","","","22.0","","3.20","USA","Louisiana","No","No"
"17","95.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3111&sex=unsexed&loo=95.40000&k=0.22500&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2713&gm_lm_rl=0.61000001430511"">0.23</a>","","","","22.5","","3.31","USA","Panama City, Florida","No","No"
"18","95.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=43300&sex=unsexed&loo=95.50000&k=0.14600&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6792&gm_lm_rl=0.61000001430511"">0.15</a>","0.18","","","23.0","","3.12","USA","Southeast coast","No","No"
"19","95.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=43300&sex=male&loo=95.60000&k=0.19400&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6789&gm_lm_rl=0.61000001430511"">0.19</a>","-0.05","M","","26.0","","3.25","USA","artificial reef off Alabama","No","No"
"20","97.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3112&sex=unsexed&loo=97.00000&k=0.15500&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2716&gm_lm_rl=0.61000001430511"">0.16</a>","-0.01","","","24.0","","3.16","USA","east Florida","No","No"
"21","97.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=3112&sex=unsexed&loo=97.00000&k=0.16500&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=2717&gm_lm_rl=0.61000001430511"">0.17</a>","-0.01","","","21.0","","3.19","USA","Carolinas","No","No"
"22","97.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1476&pref=43300&sex=female&loo=97.60000&k=0.19000&id2=1423&genusname=Lutjanus&speciesname=campechanus&gm_loo=90.657152627017&gm_lm=36.5&gm_m=0.2&gm_k=0.16527993022749&vautoctr=6787&gm_lm_rl=0.61000001430511"">0.19</a>","0.05","F","","26.0","","3.26","USA","artificial reef off Alabama","No","No"
