"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","48.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=43330&sex=female&loo=48.20000&k=0.27100&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=6731&gm_lm_rl=0.62000000476837"">0.27</a>","0.07","F","","28.0","","2.80","Australia","Kimberley, north-western coast","Yes","No"
"2","62.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=43330&sex=male&loo=62.80000&k=0.15100&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=6730&gm_lm_rl=0.62000000476837"">0.15</a>","-0.60","M","","28.0","","2.77","Australia","Kimberley, north-western coast","No","No"
"3","72.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=1450&sex=female&loo=72.00000&k=0.21000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1022&gm_lm_rl=0.62000000476837"">0.21</a>","","F","","25.8","","3.04","Australia","Great Barrier Reef, off Queensland","No","No"
"4","79.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=39428&sex=unsexed&loo=79.20000&k=0.13900&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=6241&gm_lm_rl=0.62000000476837"">0.14</a>","-0.92","","","26.0","","2.94","Australia","central Great Barrier Reef","No","No"
"5","79.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=28018&sex=unsexed&loo=79.80000&k=0.18000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=4902&gm_lm_rl=0.62000000476837"">0.18</a>","-0.40","","","27.0","","3.06","Australia","Arafura Sea off North Australia","No","No"
"6","81.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=2329&sex=unsexed&loo=81.70000&k=0.13000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1025&gm_lm_rl=0.62000000476837"">0.13</a>","-1.09","","0.13","27.0","","2.94","Australia","Northwest Australia","No","No"
"7","84.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=7194&sex=female&loo=84.00000&k=0.27000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1028&gm_lm_rl=0.62000000476837"">0.27</a>","","F","","27.0","","3.28","Seychelles","","No","No"
"8","85.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=2328&sex=unsexed&loo=85.10000&k=0.16000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1024&gm_lm_rl=0.62000000476837"">0.16</a>","-1.02","","","27.6","","3.06","Yemen","Gulf of Aden","No","No"
"9","88.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=5738&sex=female&loo=88.70000&k=0.18000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1026&gm_lm_rl=0.62000000476837"">0.18</a>","-0.32","F","","25.8","54.8","3.15","Australia","Great Barrier Reef, 15°-18°S","No","No"
"10","90.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=7194&sex=male&loo=90.00000&k=0.38000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1029&gm_lm_rl=0.62000000476837"">0.38</a>","","M","","27.0","","3.49","Seychelles","","Yes","No"
"11","91.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=1450&sex=male&loo=91.00000&k=0.14000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1023&gm_lm_rl=0.62000000476837"">0.14</a>","","M","","25.8","","3.06","Australia","Great Barrier Reef, off Queensland","No","No"
"12","96.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=1378&sex=unsexed&loo=96.00000&k=0.23000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1021&gm_lm_rl=0.62000000476837"">0.23</a>","","","","24.0","","3.33","Seychelles","Mahé Plateau","No","No"
"13","98.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=7194&sex=unsexed&loo=98.00000&k=0.22000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1030&gm_lm_rl=0.62000000476837"">0.22</a>","","","","27.0","","3.32","Seychelles","","No","No"
"14","102.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=192&pref=5738&sex=male&loo=102.00000&k=0.15000&id2=178&genusname=Lutjanus&speciesname=sebae&gm_loo=81.400823194094&gm_lm=54.8&gm_m=0.13&gm_k=0.19127785970643&vautoctr=1027&gm_lm_rl=0.62000000476837"">0.15</a>","-0.32","M","","25.8","","3.19","Australia","Great Barrier Reef, 15°-18°S","No","No"
