"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","89.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=54100&sex=male&loo=89.50000&k=0.23200&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=8466&gm_lm_rl=0.60497935760371"">0.23</a>","","M","","11.0","","3.27","New Zealand","Eastern stock","No","No"
"2","90.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=94003&sex=male&loo=90.30000&k=0.24200&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=11650&gm_lm_rl=0.60497935760371"">0.24</a>","-0.58","M","","","","3.30","New Zealand","West coast","No","No"
"3","90.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7018&sex=male&loo=90.70000&k=0.25600&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3225&gm_lm_rl=0.60497935760371"">0.26</a>","-1.21","M","","12.0","","3.32","Australia","Tasmania (east and west coasts)","No","No"
"4","92.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=54100&sex=male&loo=92.60000&k=0.26100&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=8464&gm_lm_rl=0.60497935760371"">0.26</a>","","M","","11.0","","3.35","New Zealand","Western stock","No","No"
"5","95.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=36839&sex=male&loo=95.50000&k=0.20000&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=5942&gm_lm_rl=0.60497935760371"">0.20</a>","-0.86","M","","12.0","","3.26","Australia","","No","No"
"6","97.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=94003&sex=female&loo=97.60000&k=0.21000&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=11651&gm_lm_rl=0.60497935760371"">0.21</a>","-0.90","F","","","","3.30","New Zealand","West coast","No","No"
"7","99.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7018&sex=female&loo=99.30000&k=0.20300&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3224&gm_lm_rl=0.60497935760371"">0.20</a>","-1.48","F","","12.0","","3.30","Australia","Tasmania (east and west coasts)","No","No"
"8","101.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=36839&sex=female&loo=101.00000&k=0.18000&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=5951&gm_lm_rl=0.60497935760371"">0.18</a>","-0.58","F","","12.0","","3.26","Australia","","No","No"
"9","102.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=54100&sex=female&loo=102.00000&k=0.16100&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=8465&gm_lm_rl=0.60497935760371"">0.16</a>","","F","","11.0","","3.22","New Zealand","Eastern stock","No","No"
"10","103.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=9072&sex=male&loo=103.00000&k=0.19900&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3232&gm_lm_rl=0.60497935760371"">0.20</a>","","M","","12.0","62.5","3.32","New Zealand","(Western stock)","No","No"
"11","104.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=54100&sex=female&loo=104.00000&k=0.21300&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=8463&gm_lm_rl=0.60497935760371"">0.21</a>","","F","","11.0","","3.36","New Zealand","Western stock","No","No"
"12","112.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=9072&sex=female&loo=112.00000&k=0.17200&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3231&gm_lm_rl=0.60497935760371"">0.17</a>","","F","","12.0","67.5","3.33","New Zealand","(Western stock)","No","No"
"13","120.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7051&sex=unsexed&loo=120.00000&k=0.14000&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3226&gm_lm_rl=0.60497935760371"">0.14</a>","-0.19","","","11.0","","3.30","New Zealand","East region","No","No"
"14","124.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7051&sex=unsexed&loo=124.00000&k=0.12400&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3227&gm_lm_rl=0.60497935760371"">0.12</a>","-0.39","","0.18","11.0","","3.28","New Zealand","East region","No","No"
"15","129.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7051&sex=unsexed&loo=129.00000&k=0.11900&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3228&gm_lm_rl=0.60497935760371"">0.12</a>","-0.58","","","12.0","","3.30","New Zealand","Northwest region","No","No"
"16","132.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7051&sex=unsexed&loo=132.00000&k=0.12200&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3229&gm_lm_rl=0.60497935760371"">0.12</a>","-0.39","","","12.0","","3.33","New Zealand","Northwest region","No","No"
"17","133.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2021&pref=7051&sex=unsexed&loo=133.00000&k=0.12100&id2=1825&genusname=Macruronus&speciesname=novaezelandiae&gm_loo=105.82154754597&gm_lm=64.951905283833&gm_m=0.18&gm_k=0.17937689515937&vautoctr=3230&gm_lm_rl=0.60497935760371"">0.12</a>","-0.21","","","11.0","","3.33","New Zealand","South region","No","No"
