"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","26.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=26.90000&k=0.27000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6392&gm_lm_rl=1"">0.27</a>","","","","14.5","","2.29","USA","Tennessee","No","No"
"2","45.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=45.70000&k=0.22000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6381&gm_lm_rl=1"">0.22</a>","","","","9.6","","2.66","USA","Idaho","No","No"
"3","49.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=49.30000&k=0.23000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6385&gm_lm_rl=1"">0.23</a>","","","","5.0","","2.75","USA","Michigan","No","No"
"4","49.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=49.90000&k=0.16000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6387&gm_lm_rl=1"">0.16</a>","","","","6.4","","2.60","","New Brunswick","No","No"
"5","50.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=50.50000&k=0.25000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6384&gm_lm_rl=1"">0.25</a>","","","","8.9","","2.80","USA","Massachusetts","No","No"
"6","51.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=51.80000&k=0.14000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6397&gm_lm_rl=1"">0.14</a>","","","","6.4","","2.57","USA","Wyoming","No","No"
"7","52.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=52.70000&k=0.21000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6389&gm_lm_rl=1"">0.21</a>","","","","10.7","","2.77","USA","Ohio","No","No"
"8","53.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=53.20000&k=0.17000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6390&gm_lm_rl=1"">0.17</a>","","","","5.5","","2.68","Canada","Ontario","No","No"
"9","54.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=54.50000&k=0.21000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6391&gm_lm_rl=1"">0.21</a>","","","","9.2","","2.80","USA","Oregon","No","No"
"10","56.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3578&pref=34055&sex=unsexed&loo=56.40000&k=0.14000&id2=3382&genusname=Micropterus&speciesname=dolomieu&gm_loo=60.659678054177&gm_lm=1&gm_m=0.24&gm_k=0.15729636567016&vautoctr=6383&gm_lm_rl=1"">0.14</a>","","","","6.1","","2.65","USA","Maine","No","No"
