"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","16.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=96811&sex=male&loo=16.80000&k=0.56100&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=21358&gm_lm_rl=0.38053478849433"">0.56</a>","-0.37","M","","","","2.20","Greece","Aegean Sea","No","No"
"2","17.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=6918&sex=unsexed&loo=17.80000&k=0.19200&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2018&gm_lm_rl=0.38053478849433"">0.19</a>","","","","14.0","","1.78","Turkey","Iskenderun","No","No"
"3","18.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=2285&sex=male&loo=18.10000&k=0.49700&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2012&gm_lm_rl=0.38053478849433"">0.50</a>","-0.18","M","","14.0","","2.21","Tunisia","Tunisian coasts","No","No"
"4","18.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=5760&sex=male&loo=18.50000&k=0.63000&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2015&gm_lm_rl=0.38053478849433"">0.63</a>","","M","","14.0","","2.33","Italy","Adriatic Sea","No","No"
"5","19.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=6918&sex=unsexed&loo=19.00000&k=0.58600&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2019&gm_lm_rl=0.38053478849433"">0.59</a>","","","","14.0","","2.33","Cyprus","","No","No"
"6","19.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=56799&sex=mixed&loo=19.00000&k=0.43800&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=8836&gm_lm_rl=0.38053478849433"">0.44</a>","-0.78","","","","","2.20","Turkey","Izmir Bay","No","No"
"7","20.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=6918&sex=unsexed&loo=20.00000&k=0.82100&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2020&gm_lm_rl=0.38053478849433"">0.82</a>","","","","14.0","","2.52","France","Banyuls-sur-Mer","No","No"
"8","20.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=89966&sex=mixed&loo=20.00000&k=0.44050&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=10687&gm_lm_rl=0.38053478849433"">0.44</a>","","","","","","2.25","Italy","Ligurian Sea","No","No"
"9","20.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=89966&sex=mixed&loo=20.00000&k=0.56800&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=10686&gm_lm_rl=0.38053478849433"">0.57</a>","","","","","","2.36","Italy","Central Tyrrhenian Sea","No","No"
"10","20.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=806&pref=2285&sex=female&loo=20.50000&k=0.50000&id2=790&genusname=Mullus&speciesname=barbatus+barbatus&gm_loo=24.459512953853&gm_lm=11.245988673105&gm_m=0.43&gm_k=0.28306667081406&vautoctr=2011&gm_lm_rl=0.38053478849433"">0.50</a>","-0.04","F","","14.0","","2.32","Tunisia","Tunisian coasts","No","No"
