"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","39.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=27207&sex=unsexed&loo=39.90000&k=0.26000&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4780&gm_lm_rl=0.75"">0.26</a>","-0.49","","0.15","14.0","30.0","2.62","New Zealand","North-eastern waters","No","No"
"2","42.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=9072&sex=male&loo=42.10000&k=0.20800&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4778&gm_lm_rl=0.75"">0.21</a>","","M","","11.0","30.0","2.57","New Zealand","Eastern South Island","No","No"
"3","44.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=9072&sex=female&loo=44.60000&k=0.20100&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4776&gm_lm_rl=0.75"">0.20</a>","","F","","11.0","30.0","2.60","New Zealand","Eastern South Island","No","No"
"4","44.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=9072&sex=female&loo=44.60000&k=0.22000&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4777&gm_lm_rl=0.75"">0.22</a>","","F","0.10","14.0","30.0","2.64","New Zealand","Chatham Islands","Yes","No"
"5","44.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=9072&sex=male&loo=44.70000&k=0.16700&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4779&gm_lm_rl=0.75"">0.17</a>","","M","0.10","14.0","30.0","2.52","New Zealand","Chatham Islands","Yes","No"
"6","45.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=6999&sex=male&loo=45.50000&k=0.16700&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4775&gm_lm_rl=0.75"">0.17</a>","-2.51","M","","12.0","","2.54","Australia","Eden","No","No"
"7","45.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=36839&sex=male&loo=45.50000&k=0.17000&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=5963&gm_lm_rl=0.75"">0.17</a>","","M","","12.0","","2.55","Australia","","No","No"
"8","47.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=1139&sex=unsexed&loo=47.70000&k=0.27900&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4773&gm_lm_rl=0.75"">0.28</a>","","","0.08","14.0","","2.80","New Zealand","","Yes","No"
"9","51.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=6999&sex=female&loo=51.00000&k=0.12500&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4774&gm_lm_rl=0.75"">0.13</a>","-3.17","F","","12.0","","2.51","Australia","Eden","No","No"
"10","51.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=36839&sex=female&loo=51.30000&k=0.13000&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=5972&gm_lm_rl=0.75"">0.13</a>","","F","","12.0","","2.53","Australia","","No","No"
"11","56.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10429&pref=784&sex=unsexed&loo=56.30000&k=0.10000&id2=10106&genusname=Nemadactylus&speciesname=macropterus&gm_loo=46.451229405261&gm_lm=30&gm_m=0.11247461131421&gm_k=0.17638192478963&vautoctr=4772&gm_lm_rl=0.75"">0.10</a>","-4.30","","0.15","12.0","","2.50","New Zealand","","Yes","No"
