"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","41.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=8540&sex=unsexed&loo=41.00000&k=0.29000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1066&gm_lm_rl=0.5"">0.29</a>","","","","27.2","","2.69","Cuba","Southeast  Zone","No","No"
"2","45.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=5307&sex=unsexed&loo=45.00000&k=0.27900&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1064&gm_lm_rl=0.5"">0.28</a>","-0.36","","0.45","25.7","","2.75","USA","South Florida","No","No"
"3","45.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=11824&sex=unsexed&loo=45.30000&k=0.16000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1069&gm_lm_rl=0.5"">0.16</a>","","","","26.0","","2.52","Mexico","Yucatán","No","No"
"4","47.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=3122&sex=unsexed&loo=47.30000&k=0.33200&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1062&gm_lm_rl=0.5"">0.33</a>","-0.27","","","27.2","","2.87","Cuba","Puerto Esperanza, NW region","No","No"
"5","49.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=8540&sex=unsexed&loo=49.20000&k=0.26000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1067&gm_lm_rl=0.5"">0.26</a>","-1.19","","0.20","27.2","","2.80","Cuba","Northwest  Zone","No","No"
"6","49.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=83831&sex=unsexed&loo=49.50000&k=0.10700&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=10246&gm_lm_rl=0.5"">0.11</a>","-2.50","","","","","2.42","Brazil","Northeastern region","No","No"
"7","50.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=3090&sex=unsexed&loo=50.00000&k=0.15000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1060&gm_lm_rl=0.5"">0.15</a>","-0.80","","","27.2","","2.57","Cuba","","No","No"
"8","50.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=5307&sex=unsexed&loo=50.20000&k=0.13900&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1065&gm_lm_rl=0.5"">0.14</a>","-0.96","","","27.2","","2.54","Puerto Rico","","No","No"
"9","52.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=72458&sex=unsexed&loo=52.00000&k=0.14000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=9543&gm_lm_rl=0.5"">0.14</a>","-0.14","","","","","2.58","","","No","No"
"10","53.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=202&pref=11824&sex=unsexed&loo=53.00000&k=0.10000&id2=188&genusname=Ocyurus&speciesname=chrysurus&gm_loo=52.665017539536&gm_lm=30&gm_m=0.38213023345661&gm_k=0.17214025759977&vautoctr=1070&gm_lm_rl=0.5"">0.10</a>","","","","26.0","","2.45","Mexico","Yucatán","No","No"
