"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","11.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=54078&sex=unsexed&loo=11.00000&k=9.87000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=8439&gm_lm_rl=0.5284104988602"">9.87</a>","","","","","","3.08","Malawi","","No","Yes"
"2","11.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1488&pref=102&sex=unsexed&loo=11.00000&k=9.87000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2758&gm_lm_rl=0.5284104988602"">9.87</a>","","","","","","3.08","Malawi","tanks","No","Yes"
"3","15.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27590&sex=mixed&loo=15.30000&k=1.71000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2751&gm_lm_rl=0.5284104988602"">1.71</a>","","","","","","2.60","Malawi","Domasi experimental station (pond 3)","No","Yes"
"4","18.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27590&sex=mixed&loo=18.00000&k=0.91000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2752&gm_lm_rl=0.5284104988602"">0.91</a>","","","","","","2.47","Malawi","Domasi experimental station (pond 2)","No","Yes"
"5","22.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27591&sex=female&loo=22.20000&k=0.67300&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2754&gm_lm_rl=0.5284104988602"">0.67</a>","","F","","24.4","14.0","2.52","Malawi","Chizombezi reservoir","No","No"
"6","24.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=115&sex=unsexed&loo=24.00000&k=0.49900&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2748&gm_lm_rl=0.5284104988602"">0.50</a>","","","","26.0","","2.46","Malawi","Lake Malawi","No","No"
"7","25.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27591&sex=male&loo=25.30000&k=0.65800&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2756&gm_lm_rl=0.5284104988602"">0.66</a>","","M","","24.4","14.0","2.62","Malawi","Chizombezi reservoir","No","No"
"8","27.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27590&sex=mixed&loo=27.30000&k=0.51000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2753&gm_lm_rl=0.5284104988602"">0.51</a>","","","","","","2.58","Malawi","Domasi experimental station (pond 1)","No","Yes"
"9","27.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=54078&sex=unsexed&loo=27.80000&k=0.48100&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=8437&gm_lm_rl=0.5284104988602"">0.48</a>","","","","","","2.57","Malawi","Lake Malawi","No","No"
"10","29.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27591&sex=male&loo=29.80000&k=1.32000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2757&gm_lm_rl=0.5284104988602"">1.32</a>","","M","","24.4","15.0","3.07","Malawi","Mbvoniha reservoir","No","No"
"11","31.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27591&sex=female&loo=31.00000&k=0.84500&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2755&gm_lm_rl=0.5284104988602"">0.85</a>","","F","","24.7","14.0","2.91","Malawi","Mbvoniha reservoir","No","No"
"12","32.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27590&sex=female&loo=32.30000&k=0.32000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2749&gm_lm_rl=0.5284104988602"">0.32</a>","","F","","","","2.52","Malawi","Mikolongwe","No","No"
"13","41.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1487&pref=27590&sex=male&loo=41.10000&k=0.27000&id2=1432&genusname=Oreochromis&speciesname=shiranus&gm_loo=22.671582213193&gm_lm=14.243569582329&gm_m=1&gm_k=0.98221284932049&vautoctr=2750&gm_lm_rl=0.5284104988602"">0.27</a>","","M","","","","2.66","Malawi","Mikolongwe","No","No"
