"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","9.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=9.60000&k=1.38600&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2391&gm_lm_rl=1"">1.39</a>","","","","","","2.11","Russia","Rybinsk Reservoir","Yes","No"
"2","12.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=12.60000&k=0.37000&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2392&gm_lm_rl=1"">0.37</a>","","","","","","1.77","Russia","Onega Lake","Yes","No"
"3","13.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=13.30000&k=0.87500&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2393&gm_lm_rl=1"">0.88</a>","","","","","","2.19","Germany","Dadey Lake (formerly Eastern Prussia)","Yes","No"
"4","17.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=17.00000&k=0.33600&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2394&gm_lm_rl=1"">0.34</a>","","","","","","1.99","Russia","Ilmen Lake","Yes","No"
"5","25.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=25.10000&k=0.21000&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2395&gm_lm_rl=1"">0.21</a>","","","","","","2.12","Russia","Neva River","No","No"
"6","28.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=593&sex=unsexed&loo=28.50000&k=0.26400&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2402&gm_lm_rl=1"">0.26</a>","-0.13","","","","","2.33","Russia","Yenisei River","No","No"
"7","28.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=28.80000&k=0.25200&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2396&gm_lm_rl=1"">0.25</a>","","","0.44","","","2.32","Russia","Yenisey River","No","No"
"8","30.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=30.90000&k=0.37900&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2397&gm_lm_rl=1"">0.38</a>","","","","2.0","","2.56","Russia","White Sea, Kandalaksha Bay","No","No"
"9","31.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=31.80000&k=0.18100&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2398&gm_lm_rl=1"">0.18</a>","","","","2.0","","2.26","Russia","Chesha Bay","No","No"
"10","32.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=32.20000&k=0.27400&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2399&gm_lm_rl=1"">0.27</a>","","","","9.0","","2.45","Germany","Elbe Estuary","No","No"
"11","32.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=32.40000&k=0.25700&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2400&gm_lm_rl=1"">0.26</a>","","","","3.1","","2.43","Russia","Kurishes Haff, Baltic","No","No"
"12","38.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1352&pref=312&sex=unsexed&loo=38.30000&k=0.15200&id2=1334&genusname=Osmerus&speciesname=eperlanus&gm_loo=23.018122062742&gm_lm=1&gm_m=0.44&gm_k=0.3279304604653&vautoctr=2401&gm_lm_rl=1"">0.15</a>","","","","2.0","","2.35","Russia","White Sea, Dvina Bay","No","No"
