"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","35.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=27541&sex=unsexed&loo=35.60000&k=0.28100&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=7071&gm_lm_rl=0.56000000238419"">0.28</a>","","","","23.0","","2.55","USA","Cape Fear, NC to Cape Canaveral, FL","No","No"
"2","38.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=27541&sex=unsexed&loo=38.30000&k=0.27300&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=7070&gm_lm_rl=0.56000000238419"">0.27</a>","","","","23.0","","2.60","USA","Cape Fear, NC to Cape Canaveral, FL","No","No"
"3","39.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=27541&sex=unsexed&loo=39.10000&k=0.34300&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=7069&gm_lm_rl=0.56000000238419"">0.34</a>","","","","23.0","","2.72","USA","Cape Fear, NC to Cape Canaveral, FL","No","No"
"4","43.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=40612&sex=unsexed&loo=43.90000&k=0.30300&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=6282&gm_lm_rl=0.56000000238419"">0.30</a>","-0.54","","","20.1","","2.77","Greece","tanks","No","Yes"
"5","44.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=40612&sex=unsexed&loo=44.40000&k=0.13700&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=6283&gm_lm_rl=0.56000000238419"">0.14</a>","-0.96","","","19.0","","2.43","Greece","Crete","No","No"
"6","44.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=83857&sex=unsexed&loo=44.60000&k=0.23700&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=10275&gm_lm_rl=0.56000000238419"">0.24</a>","-0.55","","","","","2.67","Brazil","Southeastern region","No","No"
"7","45.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=27030&sex=mixed&loo=45.10000&k=0.11800&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=2328&gm_lm_rl=0.56000000238419"">0.12</a>","2.83","","","19.0","","2.38","Greece","Dodecanese","Yes","No"
"8","45.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=27541&sex=unsexed&loo=45.90000&k=0.22600&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=6686&gm_lm_rl=0.56000000238419"">0.23</a>","","","","23.0","","2.68","USA","Cape Fear, NC to Cape Canaveral, FL","No","No"
"9","45.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=42812&sex=unsexed&loo=45.90000&k=0.11000&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=6683&gm_lm_rl=0.56000000238419"">0.11</a>","-6.60","","","26.0","","2.37","USA","Eastern Gulf of Mexico","No","No"
"10","46.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1249&pref=72458&sex=unsexed&loo=46.00000&k=0.11000&id2=1756&genusname=Pagrus&speciesname=pagrus&gm_loo=51.761470810549&gm_lm=31.3&gm_m=0.29&gm_k=0.16045223812377&vautoctr=9531&gm_lm_rl=0.56000000238419"">0.11</a>","","","","","","2.37","","","No","No"
