"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","13.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88119&sex=male&loo=13.07000&k=0.57000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10579&gm_lm_rl=0.35763540744886"">0.57</a>","","M","","","","1.99","Sweden","Fisksjön","Yes","No"
"2","13.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=male&loo=13.56000&k=0.61000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10587&gm_lm_rl=0.35763540744886"">0.61</a>","","M","","","","2.05","Norway","Langtjern","Yes","No"
"3","15.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=male&loo=15.03000&k=0.55000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10585&gm_lm_rl=0.35763540744886"">0.55</a>","","M","","","","2.09","Norway","Store Risen","Yes","No"
"4","15.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=15.20000&k=0.59300&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6529&gm_lm_rl=0.35763540744886"">0.59</a>","","","","","","2.14","","Vranov reservoir","Yes","No"
"5","15.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=male&loo=15.40000&k=0.55900&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6532&gm_lm_rl=0.35763540744886"">0.56</a>","-0.00","M","","","","2.12","Czechia","Nová Zivohost, Slapy reservoir","Yes","No"
"6","16.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=female&loo=16.10000&k=0.52600&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6531&gm_lm_rl=0.35763540744886"">0.53</a>","0.00","F","","","","2.13","Czechia","Nová Zivohost, Slapy reservoir","Yes","No"
"7","16.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=40260&sex=female&loo=16.40000&k=0.57000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10598&gm_lm_rl=0.35763540744886"">0.57</a>","","F","","","","2.19","UK Engld Wal","Lake Windermere (normal perch, Stanza I)","Yes","No"
"8","16.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88119&sex=female&loo=16.68000&k=0.35000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10578&gm_lm_rl=0.35763540744886"">0.35</a>","","F","","","","1.99","Sweden","Fisksjön","Yes","No"
"9","17.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=17.00000&k=0.46500&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6528&gm_lm_rl=0.35763540744886"">0.47</a>","","","","","","2.13","","Pastvinská reservoir","Yes","No"
"10","17.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=male&loo=17.60000&k=0.64000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10581&gm_lm_rl=0.35763540744886"">0.64</a>","","M","","","","2.30","Norway","Breidtjern","Yes","No"
"11","17.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=17.70000&k=0.42500&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6527&gm_lm_rl=0.35763540744886"">0.43</a>","","","","","","2.12","","Zálskalská reservoir","Yes","No"
"12","17.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=2939&sex=unsexed&loo=17.90000&k=0.41000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=1465&gm_lm_rl=0.35763540744886"">0.41</a>","-0.01","","","","","2.12","Sweden","forest lakes","Yes","No"
"13","18.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=40260&sex=female&loo=18.00000&k=0.62000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10597&gm_lm_rl=0.35763540744886"">0.62</a>","","F","","","","2.30","UK Engld Wal","Lake Windermere (big perch, Stanza I)","Yes","No"
"14","18.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=2939&sex=unsexed&loo=18.60000&k=0.22000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=1466&gm_lm_rl=0.35763540744886"">0.22</a>","-0.59","","","9.0","","1.88","Sweden","Lake Botjörn","No","No"
"15","18.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=18.70000&k=0.26500&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6526&gm_lm_rl=0.35763540744886"">0.27</a>","","","","","","1.97","","Orava reservoir","No","No"
"16","18.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=female&loo=18.70000&k=0.38000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10584&gm_lm_rl=0.35763540744886"">0.38</a>","","F","","","","2.12","Norway","Store Risen","No","No"
"17","18.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=36152&sex=mixed&loo=18.80000&k=0.40800&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=5384&gm_lm_rl=0.35763540744886"">0.41</a>","0.23","","","","","2.16","Italy","Lake Piediluco","No","No"
"18","19.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=40260&sex=male&loo=19.30000&k=0.60000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6314&gm_lm_rl=0.35763540744886"">0.60</a>","","M","","","","2.35","UK","Lake Windermere (big perch, Stanza I)","Yes","No"
"19","19.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=female&loo=19.52000&k=0.33000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10586&gm_lm_rl=0.35763540744886"">0.33</a>","","F","","","","2.10","Norway","Langtjern","No","No"
"20","20.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=male&loo=20.00000&k=0.36800&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6533&gm_lm_rl=0.35763540744886"">0.37</a>","0.07","M","","","","2.17","Czechia","Nová Zivohost, Slapy reservoir","No","No"
"21","20.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=20.20000&k=0.28300&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6525&gm_lm_rl=0.35763540744886"">0.28</a>","","","","","","2.06","","Hubenov reservoir","No","No"
"22","20.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88119&sex=male&loo=20.71000&k=0.27000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10575&gm_lm_rl=0.35763540744886"">0.27</a>","","M","","","","2.06","Sweden","Trehörningen","No","No"
"23","20.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=52257&sex=male&loo=20.76000&k=0.57000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10536&gm_lm_rl=0.35763540744886"">0.57</a>","0.24","M","","","","2.39","UK Engld Wal","Lake Windermere, north basin","No","No"
"24","20.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=20.90000&k=0.15300&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6524&gm_lm_rl=0.35763540744886"">0.15</a>","","","","","","1.82","","Lipno reservoir","No","No"
"25","21.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=male&loo=21.00000&k=0.35900&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6536&gm_lm_rl=0.35763540744886"">0.36</a>","","M","","","","2.20","Czechia","Nová Zivohost, Slapy reservoir","No","No"
"26","21.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=52257&sex=male&loo=21.30000&k=0.43000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10530&gm_lm_rl=0.35763540744886"">0.43</a>","","M","","","","2.29","UK Engld Wal","Lake Windermere, south basin","No","No"
"27","21.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=21.70000&k=0.49400&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6523&gm_lm_rl=0.35763540744886"">0.49</a>","","","","","","2.37","","Jesenice reservoir","No","No"
"28","21.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=88121&sex=male&loo=21.74000&k=0.38000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10583&gm_lm_rl=0.35763540744886"">0.38</a>","","M","","","","2.25","Norway","Isebakketjern","No","No"
"29","21.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=21.80000&k=0.27300&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6522&gm_lm_rl=0.35763540744886"">0.27</a>","","","","","","2.11","","Horka reservoir","No","No"
"30","22.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=unsexed&loo=22.10000&k=0.33400&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6521&gm_lm_rl=0.35763540744886"">0.33</a>","","","","","","2.21","","Orlik reservoir","No","No"
"31","22.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=female&loo=22.20000&k=0.30900&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6534&gm_lm_rl=0.35763540744886"">0.31</a>","0.12","F","","","","2.18","Czechia","Nová Zivohost, Slapy reservoir","No","No"
"32","22.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=41437&sex=female&loo=22.40000&k=0.34800&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=6530&gm_lm_rl=0.35763540744886"">0.35</a>","0.03","F","","","","2.24","Czechia","Stará Zivohost, Slapy reservoir","No","No"
"33","22.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=52257&sex=male&loo=22.40000&k=0.41000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10529&gm_lm_rl=0.35763540744886"">0.41</a>","","M","","","","2.31","UK Engld Wal","Lake Windermere, north basin","No","No"
"34","22.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=52257&sex=male&loo=22.57000&k=0.40000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10545&gm_lm_rl=0.35763540744886"">0.40</a>","-0.07","M","","","","2.31","UK Engld Wal","Lake Windermere","No","No"
"35","22.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=372&pref=52257&sex=male&loo=22.60000&k=0.47000&id2=358&genusname=Perca&speciesname=fluviatilis&gm_loo=27.166759288636&gm_lm=11.884631627369&gm_m=0.3671822885188&gm_k=0.2934863692434&vautoctr=10532&gm_lm_rl=0.35763540744886"">0.47</a>","0.07","M","","","","2.38","UK Engld Wal","Lake Windermere, north basin","No","No"
