"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","30.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6308&pref=7049&sex=male&loo=30.50000&k=0.99000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=8926&gm_lm_rl=0.52848841229604"">0.99</a>","-0.04","M","","19.0","","2.96","France","Gulf of Lions","No","No"
"2","32.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6308&pref=3994&sex=male&loo=32.60000&k=0.32200&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=4555&gm_lm_rl=0.52848841229604"">0.32</a>","-0.49","M","","9.0","","2.53","Germany","Western Baltic, ICES sub-divisions 24 + 25","No","No"
"3","33.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6308&pref=56753&sex=male&loo=33.60000&k=0.18100&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=8811&gm_lm_rl=0.52848841229604"">0.18</a>","-3.53","M","","","","2.31","Turkey","Trabzon-Rice coast","No","No"
"4","35.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1359&pref=96303&sex=male&loo=35.70000&k=0.73000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=21058&gm_lm_rl=0.52848841229604"">0.73</a>","-1.16","M","","","","2.97","Netherlands","southern North Sea","No","No"
"5","38.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6308&pref=3994&sex=female&loo=38.50000&k=0.25000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=4554&gm_lm_rl=0.52848841229604"">0.25</a>","-0.64","F","","9.0","","2.57","Germany","Western Baltic, ICES sub-divisions 24 + 25","No","No"
"6","38.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1359&pref=7049&sex=female&loo=38.70000&k=0.70000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=2412&gm_lm_rl=0.52848841229604"">0.70</a>","-0.02","F","","19.0","","3.02","France","Gulf of Lion","No","No"
"7","39.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1359&pref=1099&sex=male&loo=39.10000&k=0.37700&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=2411&gm_lm_rl=0.52848841229604"">0.38</a>","-0.17","M","0.18","8.0","19.0","2.76","Germany","Kiel Bight, Baltic","No","No"
"8","40.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=58237&pref=94462&sex=mixed&loo=40.80000&k=0.36000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=11738&gm_lm_rl=0.52848841229604"">0.36</a>","-0.25","","0.20","","21.0","2.78","","North Sea, sub-area IV","No","No"
"9","41.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6308&pref=56753&sex=female&loo=41.20000&k=0.16100&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=8810&gm_lm_rl=0.52848841229604"">0.16</a>","-3.24","F","","","","2.44","Turkey","Trabzon-Rice coast","No","No"
"10","44.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1359&pref=96303&sex=female&loo=44.90000&k=0.27000&id2=1341&genusname=Platichthys&speciesname=flesus&gm_loo=40.600334523267&gm_lm=20.418093662488&gm_m=0.1897366596101&gm_k=0.29714155402611&vautoctr=21059&gm_lm_rl=0.52848841229604"">0.27</a>","-2.58","F","","","","2.74","Netherlands","southern North Sea","No","No"
