"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=40.30000&k=0.42500&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21386&gm_lm_rl=1"">0.43</a>","-0.38","","","","33.6","2.84","Alaska","Central and Western Aleutians","No","No"
"2","40.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=40.70000&k=0.56200&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21387&gm_lm_rl=1"">0.56</a>","0.37","","","","","2.97","Alaska","Central and Western Aleutians","No","No"
"3","40.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=32048&sex=unsexed&loo=40.90000&k=0.46100&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=6940&gm_lm_rl=1"">0.46</a>","-0.05","","","8.5","","2.89","Alaska","Western Aleutian Is.","No","No"
"4","41.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=41.30000&k=0.67000&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21388&gm_lm_rl=1"">0.67</a>","0.79","","","","","3.06","Alaska","Aleutian Islands","No","No"
"5","41.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=41.40000&k=0.43900&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21389&gm_lm_rl=1"">0.44</a>","-0.13","","","","","2.88","Alaska","Aleutian Islands","No","No"
"6","42.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=42.10000&k=0.65200&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21390&gm_lm_rl=1"">0.65</a>","0.70","","","","35.9","3.06","Alaska","Eastern Aleutians","No","No"
"7","42.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=6425&sex=unsexed&loo=42.20000&k=0.28500&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=3786&gm_lm_rl=1"">0.29</a>","","","0.60","5.0","","2.71","Alaska","Gulf of Alaska","No","No"
"8","44.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=32048&sex=unsexed&loo=44.02000&k=0.40400&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=6939&gm_lm_rl=1"">0.40</a>","-0.09","","","8.5","","2.89","Alaska","Central Aleutian Is.","No","No"
"9","44.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=97184&sex=mixed&loo=44.10000&k=0.51800&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=21391&gm_lm_rl=1"">0.52</a>","0.35","","","","","3.00","Alaska","Eastern Aleutians","No","No"
"10","46.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4233&pref=32048&sex=unsexed&loo=46.60000&k=0.86900&id2=4037&genusname=Pleurogrammus&speciesname=monopterygius&gm_loo=43.894409546562&gm_lm=34.730966010176&gm_m=0.6&gm_k=0.47172920798142&vautoctr=6937&gm_lm_rl=1"">0.87</a>","0.96","","","8.5","","3.28","Alaska","Gulf of Alaska","Yes","No"
