"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","30.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=30.40000&k=0.55500&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3708&gm_lm_rl=1"">0.56</a>","","","","11.1","","2.71","USA","Iowa, Red Haw Hill Lake","No","No"
"2","33.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=33.40000&k=0.59300&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3709&gm_lm_rl=1"">0.59</a>","","","","15.6","","2.82","USA","North Carolina, Hiwassee Lake","No","No"
"3","35.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=35.60000&k=0.44700&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3710&gm_lm_rl=1"">0.45</a>","","","","15.2","","2.75","USA","Tennessee, Norris Lake","No","No"
"4","36.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=36.70000&k=0.25600&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3711&gm_lm_rl=1"">0.26</a>","","","","11.1","","2.54","USA","Ohio","No","No"
"5","38.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=38.10000&k=0.24300&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3712&gm_lm_rl=1"">0.24</a>","","","","11.4","","2.55","USA","Indiana, Foots Pond","No","Yes"
"6","39.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=39.90000&k=0.18200&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3713&gm_lm_rl=1"">0.18</a>","","","","11.1","","2.46","USA","Ohio, average","No","No"
"7","40.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=40.30000&k=0.19100&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3714&gm_lm_rl=1"">0.19</a>","","","","5.2","","2.49","USA","Minnesota","No","No"
"8","44.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=44.00000&k=0.18400&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3715&gm_lm_rl=1"">0.18</a>","","","","4.1","","2.55","USA","Lake Vermillion, Minnesota","No","No"
"9","46.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=46.80000&k=0.17400&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3716&gm_lm_rl=1"">0.17</a>","","","0.34","5.2","","2.58","USA","Minnesota","No","No"
"10","60.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=60.10000&k=0.11100&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3717&gm_lm_rl=1"">0.11</a>","","","","5.2","","2.60","USA","Minnesota","No","No"
"11","61.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3584&pref=1836&sex=unsexed&loo=61.60000&k=0.11000&id2=3388&genusname=Pomoxis&speciesname=nigromaculatus&gm_loo=41.444125172117&gm_lm=1&gm_m=0.34&gm_k=0.23563752260205&vautoctr=3718&gm_lm_rl=1"">0.11</a>","","","","5.2","","2.62","USA","Minnesota","No","No"
