"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","41.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=82366&sex=unsexed&loo=41.20000&k=0.34000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=10015&gm_lm_rl=0.6700000166893"">0.34</a>","","","0.27","","","2.76","Papua New Guinea","Lihir Island group (seamount)","No","No"
"2","58.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=2300&sex=unsexed&loo=58.00000&k=0.28900&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=1073&gm_lm_rl=0.6700000166893"">0.29</a>","-0.54","","0.52","21.0","","2.99","North. Marianas","","No","No"
"3","60.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=160&sex=unsexed&loo=60.00000&k=0.29000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=1072&gm_lm_rl=0.6700000166893"">0.29</a>","","","0.53","21.0","","3.02","Vanuatu","","No","No"
"4","62.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=72458&sex=unsexed&loo=62.00000&k=0.11000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=9542&gm_lm_rl=0.6700000166893"">0.11</a>","","","","","","2.63","","","No","No"
"5","62.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=53783&sex=unsexed&loo=62.30000&k=0.11000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=8391&gm_lm_rl=0.6700000166893"">0.11</a>","","","","","","2.63","Seychelles","Mahé Plateau (5°S, 55°E)","No","No"
"6","67.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=92301&sex=unsexed&loo=67.50000&k=0.24200&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=10899&gm_lm_rl=0.6700000166893"">0.24</a>","-0.29","","","","","3.04","Hawaii","Northwest region","No","No"
"7","70.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=69385&sex=unsexed&loo=70.40000&k=0.25000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=10901&gm_lm_rl=0.6700000166893"">0.25</a>","0.22","","","","","3.09","Hawaii","","No","No"
"8","77.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=6441&sex=female&loo=77.60000&k=0.27500&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=1077&gm_lm_rl=0.6700000166893"">0.28</a>","","F","","24.0","52.0","3.22","Seychelles","Mahé Plateau","No","No"
"9","77.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=26127&sex=female&loo=77.80000&k=0.36000&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=1079&gm_lm_rl=0.6700000166893"">0.36</a>","0.06","F","","24.0","","3.34","Seychelles","Mahé Plateau","No","No"
"10","78.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=215&pref=4560&sex=unsexed&loo=78.00000&k=0.14600&id2=201&genusname=Pristipomoides&speciesname=filamentosus&gm_loo=70.251266738264&gm_lm=52&gm_m=0.36931397896645&gm_k=0.2344670044722&vautoctr=1075&gm_lm_rl=0.6700000166893"">0.15</a>","-1.67","","0.25","22.0","","2.95","Hawaii","","No","No"
