"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","33.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=33.90000&k=0.73500&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6154&gm_lm_rl=1"">0.74</a>","-0.15","","","","","2.93","Bolivia","Puerto Margarita, Rio Pilcomayo basin","No","No"
"2","34.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=34.00000&k=0.67800&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6153&gm_lm_rl=1"">0.68</a>","-0.25","","","","","2.89","Bolivia","Pilaya River, Rio Pilcomayo basin","No","No"
"3","39.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=39.50000&k=0.40900&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6155&gm_lm_rl=1"">0.41</a>","-0.71","","","","","2.80","Bolivia","Villa Montes, Rio Pilcomayo basin","No","No"
"4","44.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=44.50000&k=0.43100&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6160&gm_lm_rl=1"">0.43</a>","-0.29","","","","","2.93","Argentina","Chorra Grande, Rio Pilcomayo","No","No"
"5","45.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=45.90000&k=0.43400&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6159&gm_lm_rl=1"">0.43</a>","0.05","","","","","2.96","Bolivia","Villa Montes, Rio Pilcomayo","No","No"
"6","47.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=47.50000&k=0.19300&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6157&gm_lm_rl=1"">0.19</a>","-1.83","","","","","2.64","Argentina","Las Lomitas,  Rio Pilcomayo basin","No","No"
"7","49.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=49.20000&k=0.39500&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6158&gm_lm_rl=1"">0.40</a>","-0.06","","","","","2.98","Bolivia","Villa Montes, Rio Pilcomayo","No","No"
"8","51.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=51628&sex=male&loo=51.20000&k=0.45000&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=7493&gm_lm_rl=1"">0.45</a>","-0.31","M","","","","3.07","Argentina","Laguna Cuarentena, Isla Carabajal, Rio Paraña","No","No"
"9","52.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=38436&sex=unsexed&loo=52.30000&k=0.22600&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=6156&gm_lm_rl=1"">0.23</a>","-1.16","","","","","2.79","Bolivia","Crebo, Rio Pilcomayo basin","No","No"
"10","53.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=51628&sex=female&loo=53.50000&k=0.40000&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=7494&gm_lm_rl=1"">0.40</a>","0.13","F","","","","3.06","Argentina","Laguna Cuarentena, Isla Carabajal, Rio Paraña","No","No"
"11","76.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13379&pref=51163&sex=unsexed&loo=76.50000&k=0.22000&id2=13056&genusname=Prochilodus&speciesname=lineatus&gm_loo=46.841061251055&gm_lm=1&gm_m=1&gm_k=0.3829983049055&vautoctr=7936&gm_lm_rl=1"">0.22</a>","","","","20.0","","3.11","Argentina","Puerto Sánchez, Rio Paraná","No","No"
