"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","37.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=unsexed&loo=37.00000&k=0.21100&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8115&gm_lm_rl=1"">0.21</a>","","","","","","2.46","Canada","eastern James-Hudson Bay","No","No"
"2","43.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=56522&sex=mixed&loo=43.80000&k=0.24000&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8712&gm_lm_rl=1"">0.24</a>","","","","","","2.66","Russia","Chukotka","No","No"
"3","45.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=mixed&loo=45.40000&k=0.11700&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8015&gm_lm_rl=1"">0.12</a>","","","","","","2.38","","Leaf River, Ungava, Quebec","No","No"
"4","45.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=mixed&loo=45.90000&k=0.20400&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8111&gm_lm_rl=1"">0.20</a>","","","","","","2.63","USA","Apostle Islands and Isle Royale regions, Lake Superior.","No","No"
"5","46.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=3672&sex=unsexed&loo=46.50000&k=0.20000&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8092&gm_lm_rl=1"">0.20</a>","-0.50","","","","","2.64","USA","Apostle Is., Lake Superior","No","No"
"6","48.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=3672&sex=unsexed&loo=48.90000&k=0.19000&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8091&gm_lm_rl=1"">0.19</a>","0.00","","","","","2.66","USA","Isle Royale, Lake Superior","No","No"
"7","51.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=mixed&loo=51.80000&k=0.32000&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8114&gm_lm_rl=1"">0.32</a>","","","","","","2.93","USA","Lake Michigan","No","No"
"8","52.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=mixed&loo=52.10000&k=0.37400&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8113&gm_lm_rl=1"">0.37</a>","","","","","","3.01","USA","Lake Michigan near Ludington, Michigan","No","No"
"9","54.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=52191&sex=mixed&loo=54.90000&k=0.08400&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8112&gm_lm_rl=1"">0.08</a>","","","","","","2.40","Canada","Ungava","No","No"
"10","57.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2878&pref=3672&sex=unsexed&loo=57.00000&k=0.25000&id2=2682&genusname=Prosopium&speciesname=cylindraceum&gm_loo=47.994567986636&gm_lm=1&gm_m=1&gm_k=0.20241067809504&vautoctr=8093&gm_lm_rl=1"">0.25</a>","","","","","","2.91","USA","Lake Michigan","No","No"
