"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","18.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=2178&sex=unsexed&loo=18.20000&k=1.56000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=742&gm_lm_rl=0.76999998092651"">1.56</a>","","","","28.0","","2.71","Thailand","Gulf of Thailand","No","No"
"2","19.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1199&sex=unsexed&loo=19.60000&k=4.14000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=717&gm_lm_rl=0.76999998092651"">4.14</a>","","","","28.0","","3.20","Thailand","10°N 100°E Gulf of Thailand","No","No"
"3","20.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1199&sex=unsexed&loo=20.00000&k=3.52800&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=718&gm_lm_rl=0.76999998092651"">3.53</a>","","","","28.0","","3.15","Thailand","10°N 100°E Gulf of Thailand","No","No"
"4","20.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1200&sex=unsexed&loo=20.90000&k=3.38400&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=719&gm_lm_rl=0.76999998092651"">3.38</a>","0.00","","7.22","28.0","","3.17","Thailand","Gulf of Thailand","No","No"
"5","20.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1459&sex=unsexed&loo=20.90000&k=4.20000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=733&gm_lm_rl=0.76999998092651"">4.20</a>","","","","28.0","","3.26","Thailand","Inner Gulf of Thailand","No","No"
"6","21.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=2926&sex=unsexed&loo=21.20000&k=0.96000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=744&gm_lm_rl=0.76999998092651"">0.96</a>","","","","23.0","","2.63","Philippines","Samar Sea","No","No"
"7","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=796&sex=unsexed&loo=22.00000&k=0.70000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=715&gm_lm_rl=0.76999998092651"">0.70</a>","","","","28.0","17.0","2.53","Thailand","Gulf of Thailand","No","No"
"8","22.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1388&sex=unsexed&loo=22.00000&k=1.42000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=724&gm_lm_rl=0.76999998092651"">1.42</a>","","","","21.5","","2.84","Thailand","Southwest coast","No","No"
"9","22.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1467&sex=unsexed&loo=22.40000&k=2.00000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=736&gm_lm_rl=0.76999998092651"">2.00</a>","","","","21.5","","3.00","Thailand","Strait of Malacca","No","No"
"10","22.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1196&sex=unsexed&loo=22.90000&k=2.28000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=716&gm_lm_rl=0.76999998092651"">2.28</a>","","","4.56","28.0","","3.08","Indonesia","Tanjung Satai (Western Borneo)","No","No"
"11","22.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1314&sex=unsexed&loo=22.90000&k=1.80000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=722&gm_lm_rl=0.76999998092651"">1.80</a>","","","","27.0","","2.97","Indonesia","Java Sea (Central Java)","No","No"
"12","23.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=2178&sex=unsexed&loo=23.00000&k=3.60000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=743&gm_lm_rl=0.76999998092651"">3.60</a>","","","","28.0","","3.28","Thailand","Gulf of Thailand","No","No"
"13","23.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=5730&sex=unsexed&loo=23.20000&k=1.20000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=750&gm_lm_rl=0.76999998092651"">1.20</a>","","","","23.0","","2.81","Philippines","Guimaras Strait","No","No"
"14","23.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1467&sex=unsexed&loo=23.50000&k=1.50000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=737&gm_lm_rl=0.76999998092651"">1.50</a>","","","","29.0","","2.92","Malaysia","Kedah","No","No"
"15","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=4546&sex=unsexed&loo=24.00000&k=1.02000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=745&gm_lm_rl=0.76999998092651"">1.02</a>","","","","22.4","","2.77","Malaysia","Selangor","No","No"
"16","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=4546&sex=unsexed&loo=24.00000&k=1.04000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=746&gm_lm_rl=0.76999998092651"">1.04</a>","","","","29.0","","2.78","Malaysia","Kedah","No","No"
"17","24.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=4546&sex=unsexed&loo=24.20000&k=0.52000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=747&gm_lm_rl=0.76999998092651"">0.52</a>","","","","22.4","","2.48","Malaysia","Selangor","No","No"
"18","24.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1449&sex=unsexed&loo=24.50000&k=1.28000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=730&gm_lm_rl=0.76999998092651"">1.28</a>","","","","28.5","","2.89","Philippines","Ragay Gulf","No","No"
"19","24.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1467&sex=unsexed&loo=24.50000&k=1.40000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=738&gm_lm_rl=0.76999998092651"">1.40</a>","","","","21.5","","2.92","Thailand","Strait of Malacca","No","No"
"20","25.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1263&sex=unsexed&loo=25.00000&k=1.60000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=720&gm_lm_rl=0.76999998092651"">1.60</a>","","","","28.5","","3.00","Philippines","Samar Sea","No","No"
"21","25.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=123&pref=1449&sex=unsexed&loo=25.00000&k=1.30000&id2=109&genusname=Rastrelliger&speciesname=brachysoma&gm_loo=24.914127367013&gm_lm=17&gm_m=5.7378741708058&gm_k=1.4090281882842&vautoctr=731&gm_lm_rl=0.76999998092651"">1.30</a>","","","","28.5","","2.91","Philippines","Samar Sea","No","No"
