"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","86.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=male&loo=86.30000&k=0.29500&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21061&gm_lm_rl=1"">0.30</a>","-0.11","M","","","","3.34","New Zealand","West Northland","No","No"
"2","88.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=male&loo=88.40000&k=0.23500&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21062&gm_lm_rl=1"">0.24</a>","-0.54","M","","","","3.26","New Zealand","East Northland","No","No"
"3","88.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=male&loo=88.50000&k=0.24200&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21063&gm_lm_rl=1"">0.24</a>","-0.66","M","","","","3.28","New Zealand","Southland","No","No"
"4","90.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=54100&sex=male&loo=90.70000&k=0.20400&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=8469&gm_lm_rl=1"">0.20</a>","","M","","11.0","","3.22","New Zealand","","No","No"
"5","90.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=male&loo=90.80000&k=0.28700&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21064&gm_lm_rl=1"">0.29</a>","0.00","M","","","","3.37","New Zealand","Wairarapa","No","No"
"6","97.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=6984&sex=male&loo=97.50000&k=0.21200&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=4726&gm_lm_rl=1"">0.21</a>","-0.54","M","","12.0","","3.30","Australia","New South Wales","No","No"
"7","103.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=female&loo=103.00000&k=0.20900&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21065&gm_lm_rl=1"">0.21</a>","-0.37","F","","","","3.35","New Zealand","West Northland","No","No"
"8","103.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=female&loo=103.00000&k=0.23100&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21066&gm_lm_rl=1"">0.23</a>","-0.10","F","","","","3.39","New Zealand","Wairarapa","No","No"
"9","104.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=female&loo=104.00000&k=0.17800&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21067&gm_lm_rl=1"">0.18</a>","-0.88","F","","","","3.28","New Zealand","Southland","No","No"
"10","108.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=96397&sex=female&loo=108.50000&k=0.16700&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=21068&gm_lm_rl=1"">0.17</a>","-0.71","F","","","","3.29","New Zealand","East Northland","No","No"
"11","109.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=6984&sex=female&loo=109.00000&k=0.18000&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=4725&gm_lm_rl=1"">0.18</a>","-0.63","F","","12.0","","3.33","Australia","New South Wales","No","No"
"12","112.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=6995&sex=unsexed&loo=112.00000&k=0.15300&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=4727&gm_lm_rl=1"">0.15</a>","","","","15.0","","3.28","Australia","Eastern Bass Strait (148-151° E, 37-40° S), 1984-85","No","No"
"13","123.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=8804&pref=54100&sex=female&loo=123.00000&k=0.11400&id2=8490&genusname=Rexea&speciesname=solandri&gm_loo=99.80166525236&gm_lm=1&gm_m=1&gm_k=0.20209837558059&vautoctr=8468&gm_lm_rl=1"">0.11</a>","","F","","11.0","","3.24","New Zealand","","No","No"
