"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","45.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=45.40000&k=0.18000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5106&gm_lm_rl=0.60093508352011"">0.18</a>","0.00","","","","37.5","2.57","Alaska","Glacier Lake","No","No"
"2","46.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=46.80000&k=0.10000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5107&gm_lm_rl=0.60093508352011"">0.10</a>","-2.90","","","","35.0","2.34","Alaska","Tangle Lake","No","No"
"3","48.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=48.20000&k=0.15000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5108&gm_lm_rl=0.60093508352011"">0.15</a>","0.95","","","","34.3","2.54","Alaska","Twobit Lake","No","No"
"4","51.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=51.90000&k=0.41000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5100&gm_lm_rl=0.60093508352011"">0.41</a>","0.45","","","","38.6","3.04","Alaska","Sevenmile Lake","Yes","No"
"5","56.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=796&sex=unsexed&loo=56.00000&k=0.07000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=1218&gm_lm_rl=0.60093508352011"">0.07</a>","","","0.24","4.0","18.4","2.34","Canada","Great Slave Lake; M for Great Bear Lake","No","No"
"6","57.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=57.40000&k=0.22000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5533&gm_lm_rl=0.60093508352011"">0.22</a>","0.20","","","","45.2","2.86","Alaska","Summit Lake","No","No"
"7","60.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=60.30000&k=0.11000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5539&gm_lm_rl=0.60093508352011"">0.11</a>","-1.10","","","","37.0","2.60","Alaska","Butte Lake","No","No"
"8","61.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=61.90000&k=0.15000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5101&gm_lm_rl=0.60093508352011"">0.15</a>","-2.20","","","","42.6","2.76","Alaska","Paxson Lake, 1987-90","No","No"
"9","78.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=78.50000&k=0.09000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5537&gm_lm_rl=0.60093508352011"">0.09</a>","0.00","","","","40.0","2.74","Alaska","Upper Tangle Lake","No","Yes"
"10","82.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=262&pref=33308&sex=unsexed&loo=82.40000&k=0.10000&id2=248&genusname=Salvelinus&speciesname=namaycush&gm_loo=66.87591625775&gm_lm=37.816269376168&gm_m=0.15083973464349&gm_k=0.1138897437603&vautoctr=5535&gm_lm_rl=0.60093508352011"">0.10</a>","0.00","","","","48.1","2.83","Alaska","Fielding Lake","No","Yes"
