"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=312&sex=unsexed&loo=40.00000&k=0.33300&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=1483&gm_lm_rl=1"">0.33</a>","","","","","","2.73","Russia","Southern Caspian","Yes","No"
"2","50.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90079&sex=mixed&loo=50.00000&k=0.34300&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10736&gm_lm_rl=1"">0.34</a>","-0.06","","","","","2.93","Sweden","Himmerfjärden, northern Baltic (approx. 59°N, 17°40'E)","Yes","No"
"3","55.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=93213&sex=unsexed&loo=55.00000&k=0.15000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=11413&gm_lm_rl=1"">0.15</a>","-2.59","","","","","2.66","Iran","Caspian Sea","Yes","No"
"4","60.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=60.50000&k=0.29220&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10709&gm_lm_rl=1"">0.29</a>","","","","","","3.03","Turkey","Gölhisar Gölü","No","No"
"5","62.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90077&sex=unsexed&loo=62.50000&k=0.33300&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10733&gm_lm_rl=1"">0.33</a>","0.06","","","","","3.11","Poland","Mi?dzyodrze channel, River Odra delta","Yes","No"
"6","64.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=64.54000&k=0.42800&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10708&gm_lm_rl=1"">0.43</a>","","","","","","3.25","Turkey","Demirköprü Baraj Gölü","Yes","No"
"7","67.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=33218&sex=mixed&loo=67.80000&k=0.61300&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10734&gm_lm_rl=1"">0.61</a>","0.30","","","16.2","","3.45","Bulgaria","Ovcharitsa Dam (southern region)","Yes","No"
"8","75.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=75.24000&k=0.51400&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10705&gm_lm_rl=1"">0.51</a>","","","","","","3.46","Turkey","E?irdir Gölü","Yes","No"
"9","79.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=56523&sex=mixed&loo=79.00000&k=0.19000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=8728&gm_lm_rl=1"">0.19</a>","-1.39","","","","","3.07","Russia","Volga river","No","No"
"10","79.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=312&sex=unsexed&loo=79.50000&k=0.20400&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=1484&gm_lm_rl=1"">0.20</a>","","","","","","3.11","Kazakhstan","Aral Lake","No","No"
