"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","15.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1449&sex=unsexed&loo=15.80000&k=1.00000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2948&gm_lm_rl=1"">1.00</a>","","","","28.5","","2.40","Philippines","Ragay Gulf","No","No"
"2","15.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=5381&sex=unsexed&loo=15.80000&k=1.10000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2951&gm_lm_rl=1"">1.10</a>","","","","28.7","","2.44","Philippines","Visayas","No","No"
"3","18.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=3268&sex=unsexed&loo=18.10000&k=0.95000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2949&gm_lm_rl=1"">0.95</a>","","","0.96","23.0","","2.49","Indonesia","Bali Strait, 50 m","No","No"
"4","19.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=3784&sex=unsexed&loo=19.30000&k=1.22000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2950&gm_lm_rl=1"">1.22</a>","","","","27.0","","2.66","Philippines","","No","No"
"5","19.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=13304&sex=unsexed&loo=19.40000&k=1.00000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2952&gm_lm_rl=1"">1.00</a>","","","","28.0","","2.58","Philippines","South Sulu Sea","No","No"
"6","21.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1263&sex=unsexed&loo=21.00000&k=1.10000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2940&gm_lm_rl=1"">1.10</a>","","","","28.2","","2.69","Philippines","Manila Bay","No","No"
"7","21.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1314&sex=unsexed&loo=21.10000&k=0.80000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2942&gm_lm_rl=1"">0.80</a>","","","","28.0","","2.55","Indonesia","Bali Strait","No","No"
"8","21.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1392&sex=unsexed&loo=21.50000&k=1.05000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2946&gm_lm_rl=1"">1.05</a>","","","","27.7","","2.69","Philippines","Visayan Sea","No","No"
"9","22.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1314&sex=unsexed&loo=22.30000&k=0.85000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2943&gm_lm_rl=1"">0.85</a>","","","","28.0","","2.63","Indonesia","Bali Strait","No","No"
"10","22.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1703&pref=1314&sex=unsexed&loo=22.50000&k=1.00000&id2=1510&genusname=Sardinella&speciesname=lemuru&gm_loo=20.765986425387&gm_lm=1&gm_m=0.96&gm_k=0.96870850213676&vautoctr=2944&gm_lm_rl=1"">1.00</a>","","","","28.0","","2.70","Indonesia","Bali Strait","No","No"
