"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","16.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=5760&sex=unsexed&loo=16.30000&k=0.61000&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2853&gm_lm_rl=0.72447633869753"">0.61</a>","","","","15.0","","2.21","Australia","Southeastern coast","Yes","No"
"2","16.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=10851&sex=male&loo=16.40000&k=0.72800&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2856&gm_lm_rl=0.72447633869753"">0.73</a>","","M","0.43","17.6","","2.29","Australia","Albany (118°E,35°S), Western Australia","Yes","No"
"3","16.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=10851&sex=male&loo=16.40000&k=0.80500&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2857&gm_lm_rl=0.72447633869753"">0.81</a>","","M","0.43","12.5","","2.34","Australia","South Western Australia","Yes","No"
"4","17.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=33192&sex=male&loo=17.10000&k=1.18000&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=5054&gm_lm_rl=0.72447633869753"">1.18</a>","-0.01","M","","18.0","","2.54","Mexico","Bahia Magdalena, Baja California","Yes","No"
"5","17.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=10851&sex=female&loo=17.20000&k=0.66300&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2854&gm_lm_rl=0.72447633869753"">0.66</a>","","F","0.43","17.6","","2.29","Australia","Albany (118°E,35°S), Western Australia","Yes","No"
"6","17.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=10851&sex=female&loo=17.40000&k=0.58400&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2855&gm_lm_rl=0.72447633869753"">0.58</a>","","F","0.43","12.5","","2.25","Australia","South Western Australia","Yes","No"
"7","17.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=33192&sex=female&loo=17.40000&k=1.15000&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=5055&gm_lm_rl=0.72447633869753"">1.15</a>","-0.01","F","","18.0","","2.54","Mexico","Bahia Magdalena, Baja California","Yes","No"
"8","20.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=796&sex=unsexed&loo=20.50000&k=0.22000&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2852&gm_lm_rl=0.72447633869753"">0.22</a>","","","","15.0","","1.97","Australia","Victoria","Yes","No"
"9","20.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=2197&sex=unsexed&loo=20.50000&k=0.36700&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2843&gm_lm_rl=0.72447633869753"">0.37</a>","","","0.49","12.0","","2.19","Japan","off SE Hokkaido (Dohto region)","No","No"
"10","20.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1670&pref=2197&sex=unsexed&loo=20.60000&k=0.46100&id2=1477&genusname=Sardinops&speciesname=sagax&gm_loo=25.993725992754&gm_lm=20.837956245926&gm_m=0.38037762050773&gm_k=0.44199703624235&vautoctr=2844&gm_lm_rl=0.72447633869753"">0.46</a>","","","","12.0","","2.29","Japan","off SE Hokkaido (Dohto region)","No","No"
