"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","29.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=7328&sex=mixed&loo=29.80000&k=0.50000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2218&gm_lm_rl=0.45989128482797"">0.50</a>","","","","25.0","","2.65","Australia","Cleveland Bay, North Queensland","No","No"
"2","30.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=male&loo=30.30000&k=2.34000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2209&gm_lm_rl=0.45989128482797"">2.34</a>","","M","","27.0","","3.33","Thailand","Gulf of Thailand (upper)","Yes","No"
"3","30.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1263&sex=unsexed&loo=30.50000&k=0.80000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2196&gm_lm_rl=0.45989128482797"">0.80</a>","","","","27.7","","2.87","Philippines","Visayan Sea","No","No"
"4","31.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=male&loo=31.00000&k=1.89000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2210&gm_lm_rl=0.45989128482797"">1.89</a>","","M","","27.0","","3.26","Thailand","Gulf of Thailand (upper)","Yes","No"
"5","31.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=312&sex=unsexed&loo=31.50000&k=0.69800&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2193&gm_lm_rl=0.45989128482797"">0.70</a>","","","","19.0","","2.84","Israel","Mediterranean coast","No","No"
"6","31.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=male&loo=31.80000&k=1.62000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2211&gm_lm_rl=0.45989128482797"">1.62</a>","","M","","27.0","","3.21","Thailand","Gulf of Thailand","Yes","No"
"7","32.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=male&loo=32.50000&k=1.60000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2212&gm_lm_rl=0.45989128482797"">1.60</a>","","M","","27.0","","3.23","Thailand","Gulf of Thailand (inner)","Yes","No"
"8","33.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1474&sex=unsexed&loo=33.30000&k=0.30000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2201&gm_lm_rl=0.45989128482797"">0.30</a>","","","","28.5","","2.52","Philippines","Samar Sea","No","No"
"9","33.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1314&sex=unsexed&loo=33.50000&k=0.95000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2198&gm_lm_rl=0.45989128482797"">0.95</a>","","","","27.0","","3.03","Indonesia","Java Sea (Central Java)","No","No"
"10","34.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=52110&sex=unsexed&loo=34.00000&k=1.20000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=7744&gm_lm_rl=0.45989128482797"">1.20</a>","","","","27.9","","3.14","Malaysia","Peninsular west coast","No","No"
"11","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1263&sex=unsexed&loo=34.50000&k=0.60000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2197&gm_lm_rl=0.45989128482797"">0.60</a>","","","","28.2","","2.85","Philippines","Manila Bay","No","No"
"12","35.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=female&loo=35.20000&k=2.13000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2205&gm_lm_rl=0.45989128482797"">2.13</a>","","F","","27.0","","3.42","Thailand","Gulf of Thailand (upper)","Yes","No"
"13","36.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1532&sex=male&loo=36.00000&k=0.25000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2204&gm_lm_rl=0.45989128482797"">0.25</a>","","M","0.62","22.2","17.0","2.51","Egypt","Gulf of Suez","No","No"
"14","36.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=2877&sex=female&loo=36.00000&k=1.64000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2206&gm_lm_rl=0.45989128482797"">1.64</a>","","F","","27.0","","3.33","Thailand","Gulf of Thailand (upper)","Yes","No"
"15","36.8","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=5337&sex=unsexed&loo=36.80000&k=0.65000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2214&gm_lm_rl=0.45989128482797"">0.65</a>","","","","25.0","","2.94","Mozambique","Sofala Bank and Boa Paz (17°15'S - 21°20'S)","No","No"
"16","37.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=1532&sex=female&loo=37.00000&k=0.39000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2203&gm_lm_rl=0.45989128482797"">0.39</a>","","F","","22.2","16.6","2.73","Egypt","Gulf of Suez","No","No"
"17","37.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=312&sex=unsexed&loo=37.90000&k=0.88900&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=2194&gm_lm_rl=0.45989128482797"">0.89</a>","","","","28.0","","3.11","Thailand","Inner Gulf of Thailand, off Trat","No","No"
"18","39.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=53527&sex=unsexed&loo=39.50000&k=0.31000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=8358&gm_lm_rl=0.45989128482797"">0.31</a>","","","","27.0","23.0","2.68","India","off Visakhapatnam","No","No"
"19","40.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=52110&sex=unsexed&loo=40.50000&k=0.98000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=7763&gm_lm_rl=0.45989128482797"">0.98</a>","","","","29.0","","3.21","Malaysia","Peninsular east coast","No","No"
"20","40.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1071&pref=96284&sex=unsexed&loo=40.50000&k=0.29000&id2=1055&genusname=Saurida&speciesname=undosquamis&gm_loo=40.115992872289&gm_lm=18.653555134974&gm_m=0.62&gm_k=0.55683260420282&vautoctr=21078&gm_lm_rl=0.45989128482797"">0.29</a>","","","","28.0","","2.68","India","Visakhapatnam","No","No"
