"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","33.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=312&sex=unsexed&loo=33.60000&k=0.83700&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=832&gm_lm_rl=0.71728142389105"">0.84</a>","-0.18","","","9.0","","2.98","UK Engld Wal","Central North Sea","Yes","No"
"2","35.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=1836&sex=unsexed&loo=35.00000&k=0.50000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=841&gm_lm_rl=0.71728142389105"">0.50</a>","","","","18.7","23.5","2.79","Spain","Mediterrranean (Western)","No","No"
"3","36.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=58187&sex=unsexed&loo=36.00000&k=0.36800&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=9166&gm_lm_rl=0.71728142389105"">0.37</a>","-1.35","","","","","2.68","Algeria","Beni-Saf","No","No"
"4","36.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=7253&sex=mixed&loo=36.20000&k=0.48500&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=846&gm_lm_rl=0.71728142389105"">0.49</a>","","","","14.0","","2.80","France","Gulf of Lion","No","No"
"5","37.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=1836&sex=unsexed&loo=37.00000&k=0.56000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=842&gm_lm_rl=0.71728142389105"">0.56</a>","","","","11.7","","2.88","UK Engld Wal","English Channel","No","No"
"6","37.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=312&sex=unsexed&loo=37.40000&k=0.47000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=833&gm_lm_rl=0.71728142389105"">0.47</a>","-0.97","","","11.9","","2.82","UK Engld Wal","Celtic Sea","No","No"
"7","39.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=312&sex=unsexed&loo=39.00000&k=0.43000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=834&gm_lm_rl=0.71728142389105"">0.43</a>","","","","7.0","31.5","2.82","","North Sea","No","No"
"8","39.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=27256&sex=unsexed&loo=39.90000&k=0.36000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=8350&gm_lm_rl=0.71728142389105"">0.36</a>","","","","","26.2","2.76","","Western stock","No","No"
"9","40.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=132&pref=207&sex=unsexed&loo=40.60000&k=0.27000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=831&gm_lm_rl=0.71728142389105"">0.27</a>","-1.65","","0.30","10.0","","2.65","USA","Northwest Atlantic","No","No"
"10","40.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=132&pref=5760&sex=unsexed&loo=40.70000&k=0.27000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=844&gm_lm_rl=0.71728142389105"">0.27</a>","","","","12.0","","2.65","USA","Northwest Atlantic","No","No"
"11","41.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=312&sex=unsexed&loo=41.00000&k=0.44000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=835&gm_lm_rl=0.71728142389105"">0.44</a>","","","0.15","12.0","28.0","2.87","France","North East Atlantic","Yes","No"
"12","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=1836&sex=unsexed&loo=41.80000&k=0.43000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=843&gm_lm_rl=0.71728142389105"">0.43</a>","","","","10.7","","2.88","UK","English Channel & Irish Sea","No","No"
"13","42.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=312&sex=unsexed&loo=42.00000&k=0.23800&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=836&gm_lm_rl=0.71728142389105"">0.24</a>","-2.07","","0.13","11.2","","2.62","France","Southern North Sea","No","No"
"14","42.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=56800&sex=mixed&loo=42.00000&k=0.37000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=8837&gm_lm_rl=0.71728142389105"">0.37</a>","-0.50","","","","","2.81","Croatia","eastern Adriatic","No","No"
"15","42.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=132&pref=1212&sex=unsexed&loo=42.90000&k=0.36000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=840&gm_lm_rl=0.71728142389105"">0.36</a>","-1.14","","","7.0","","2.82","Canada","off Newfoundland","No","No"
"16","43.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56777&pref=5760&sex=unsexed&loo=43.50000&k=0.26000&id2=118&genusname=Scomber&speciesname=scombrus&gm_loo=40.174100201188&gm_lm=27.14622439262&gm_m=0.18018499499146&gm_k=0.36823224417225&vautoctr=845&gm_lm_rl=0.71728142389105"">0.26</a>","","","","14.5","","2.69","Spain","Cantabrian Sea","No","No"
