"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","90.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=1471&sex=male&loo=90.30000&k=0.35000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=850&gm_lm_rl=0.41153106308838"">0.35</a>","-2.50","M","","21.5","","3.46","USA","Florida","Yes","No"
"2","96.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=1471&sex=male&loo=96.50000&k=0.28000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=851&gm_lm_rl=0.41153106308838"">0.28</a>","-1.17","M","0.37","22.2","","3.42","USA","Southeastern coast","No","No"
"3","101.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=8540&sex=unsexed&loo=101.00000&k=0.19000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=864&gm_lm_rl=0.41153106308838"">0.19</a>","-2.43","","","27.2","","3.29","Cuba","Southeast Zone","No","No"
"4","111.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=6141&sex=male&loo=111.00000&k=0.20800&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=861&gm_lm_rl=0.41153106308838"">0.21</a>","","M","","25.0","","3.41","USA","Gulf of Mexico","No","No"
"5","112.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=6141&sex=male&loo=112.00000&k=0.18000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=862&gm_lm_rl=0.41153106308838"">0.18</a>","-1.80","M","","28.0","","3.35","Trinidad Tobago","","No","No"
"6","113.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=6141&sex=male&loo=113.00000&k=0.22900&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=863&gm_lm_rl=0.41153106308838"">0.23</a>","","M","","27.5","","3.47","Brazil","Northeastern coast","No","No"
"7","115.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=11824&sex=unsexed&loo=115.00000&k=0.16000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=865&gm_lm_rl=0.41153106308838"">0.16</a>","","","","21.5","","3.33","Mexico","Yucatán","No","No"
"8","116.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=4949&sex=male&loo=116.00000&k=0.18000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=857&gm_lm_rl=0.41153106308838"">0.18</a>","-0.22","M","","27.5","","3.38","Brazil","off Ceará State","No","No"
"9","118.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=83831&sex=male&loo=118.00000&k=0.17000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=10286&gm_lm_rl=0.41153106308838"">0.17</a>","0.08","M","","","","3.37","Brazil","Northeastern region","No","No"
"10","124.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=134&pref=1471&sex=female&loo=124.00000&k=0.21000&id2=120&genusname=Scomberomorus&speciesname=cavalla&gm_loo=124.44366606534&gm_lm=58.518403151546&gm_m=0.27384085097802&gm_k=0.16005935001864&vautoctr=848&gm_lm_rl=0.41153106308838"">0.21</a>","-2.40","F","","21.5","","3.51","USA","Florida","No","No"
