"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","22.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=49702&sex=mixed&loo=22.40000&k=0.38000&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=8804&gm_lm_rl=1"">0.38</a>","-0.53","","","","","2.28","Greece","Crete Island","No","No"
"2","22.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=90191&sex=unsexed&loo=22.50000&k=0.15500&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10710&gm_lm_rl=1"">0.16</a>","-3.57","","","","","1.89","Greece","Evoia (control)","No","No"
"3","22.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=90191&sex=unsexed&loo=22.90000&k=0.30300&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10716&gm_lm_rl=1"">0.30</a>","-1.24","","","","","2.20","Greece","Chios (control)","No","No"
"4","23.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=91415&sex=unsexed&loo=23.50000&k=0.34000&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10796&gm_lm_rl=1"">0.34</a>","-0.70","","","","","2.27","Greece","Crete Island","No","No"
"5","23.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=27030&sex=mixed&loo=23.80000&k=0.30000&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=2483&gm_lm_rl=1"">0.30</a>","-0.37","","0.68","14.0","","2.23","Greece","N Aegean Sea; M: for Medas Is (Spain) 1996-99","No","No"
"6","23.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=86710&sex=unsexed&loo=23.88000&k=0.29800&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10455&gm_lm_rl=1"">0.30</a>","-1.58","","","","13.2","2.23","Turkey","Izmir Bay","No","No"
"7","27.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=90191&sex=unsexed&loo=27.60000&k=0.18900&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10713&gm_lm_rl=1"">0.19</a>","-1.83","","","","","2.16","Greece","Lesvos (control)","No","No"
"8","30.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=90191&sex=unsexed&loo=30.80000&k=0.19300&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10715&gm_lm_rl=1"">0.19</a>","-1.31","","","","","2.26","Greece","Lesvos (total)","No","No"
"9","31.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=90191&sex=unsexed&loo=31.30000&k=0.20500&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=10718&gm_lm_rl=1"">0.21</a>","-1.00","","","","","2.30","Greece","Chios (total)","No","No"
"10","31.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1371&pref=57539&sex=unsexed&loo=31.90000&k=0.09500&id2=1353&genusname=Serranus&speciesname=cabrilla&gm_loo=28.548881587154&gm_lm=14.07124727947&gm_m=0.68&gm_k=0.19277229334231&vautoctr=8915&gm_lm_rl=1"">0.10</a>","-1.48","","","","","1.99","Tunisia","SE Tunisian coasts","No","No"
