"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","19.6","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=19.60000&k=0.27900&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1861&gm_lm_rl=1"">0.28</a>","","M","","16.4","","2.03","Netherlands","Dutch ports","Yes","No"
"2","23.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=57635&sex=male&loo=23.20000&k=0.82800&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=8993&gm_lm_rl=1"">0.83</a>","-1.66","M","","","","2.65","Italy","Adriatic Sea","No","No"
"3","24.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=24.50000&k=0.58200&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1862&gm_lm_rl=1"">0.58</a>","","M","","16.2","","2.54","Netherlands","Dutch ports","No","No"
"4","26.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=56711&sex=male&loo=26.00000&k=0.22100&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=8781&gm_lm_rl=1"">0.22</a>","-1.31","M","","","14.8","2.17","Turkey","Iskenderun Bay","No","No"
"5","28.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=28.20000&k=0.25200&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1863&gm_lm_rl=1"">0.25</a>","","M","","16.0","27.5","2.30","Netherlands","Dutch ports","No","No"
"6","29.9","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=29.90000&k=0.37700&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1864&gm_lm_rl=1"">0.38</a>","-2.10","M","","17.5","","2.53","Netherlands","Dutch ports","No","No"
"7","29.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=56711&sex=female&loo=29.90000&k=0.18100&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=8782&gm_lm_rl=1"">0.18</a>","-1.55","F","","","15.2","2.21","Turkey","Iskenderun Bay","No","No"
"8","30.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=30.10000&k=0.28900&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1865&gm_lm_rl=1"">0.29</a>","-4.20","M","","15.3","","2.42","Netherlands","Dutch ports","No","No"
"9","30.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=30.20000&k=0.39300&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1866&gm_lm_rl=1"">0.39</a>","-2.00","M","","16.7","","2.55","Netherlands","Dutch ports","No","No"
"10","30.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=541&pref=4514&sex=male&loo=30.70000&k=0.55600&id2=525&genusname=Solea&speciesname=solea&gm_loo=36.56862744311&gm_lm=26.302602571863&gm_m=0.24662120743305&gm_k=0.32297848849398&vautoctr=1867&gm_lm_rl=1"">0.56</a>","-0.80","M","","16.9","26.5","2.72","Netherlands","Dutch ports","No","No"
