"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","12.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=13727&sex=female&loo=12.80000&k=0.92100&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3215&gm_lm_rl=0.55389527449609"">0.92</a>","-0.22","F","","14.0","","2.18","Greece","off Iraklion (1988-89) and Crete (1988-90)","No","No"
"2","13.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=57594&sex=female&loo=13.80000&k=0.49800&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=8954&gm_lm_rl=0.55389527449609"">0.50</a>","-0.57","F","","","","1.98","Turkey","Babad lliman Bight","No","No"
"3","14.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=57594&sex=male&loo=14.50000&k=0.85100&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=8953&gm_lm_rl=0.55389527449609"">0.85</a>","-0.09","M","","","","2.25","Turkey","Babad lliman Bight","No","No"
"4","15.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=8909&sex=female&loo=15.20000&k=3.06600&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3213&gm_lm_rl=0.55389527449609"">3.07</a>","0.08","F","","14.0","8.9","2.85","Greece","Saronikos Gulf, Athens","Yes","No"
"5","17.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=47661&sex=male&loo=17.40000&k=0.87200&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=7289&gm_lm_rl=0.55389527449609"">0.87</a>","-0.04","M","","19.0","","2.42","Egypt","Alexandria","No","No"
"6","17.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=27030&sex=female&loo=17.60000&k=0.23200&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3217&gm_lm_rl=0.55389527449609"">0.23</a>","-1.15","F","","14.0","9.1","1.86","Greece","Crete","No","No"
"7","18.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=8909&sex=unsexed&loo=18.70000&k=0.92900&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3214&gm_lm_rl=0.55389527449609"">0.93</a>","-0.32","","","14.0","","2.51","Greece","Saronikos Gulf, Athens","No","No"
"8","19.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=13727&sex=male&loo=19.20000&k=0.15400&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3216&gm_lm_rl=0.55389527449609"">0.15</a>","-3.52","M","","14.0","","1.75","Greece","off Iraklion (1988-89) and Crete (1988-90)","No","No"
"9","19.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=27030&sex=male&loo=19.60000&k=0.23300&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3218&gm_lm_rl=0.55389527449609"">0.23</a>","-1.97","M","","14.0","","1.95","Greece","Crete","No","No"
"10","20.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=47661&sex=mixed&loo=20.10000&k=0.44000&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=7287&gm_lm_rl=0.55389527449609"">0.44</a>","-0.01","","","","","2.25","Turkey","eastern Black Sea","No","No"
"11","21.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=312&sex=unsexed&loo=21.00000&k=0.21800&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3209&gm_lm_rl=0.55389527449609"">0.22</a>","-1.79","","","14.0","","1.98","Italy","Adriatic Sea","No","No"
"12","21.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=47661&sex=female&loo=21.03000&k=0.21500&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=7290&gm_lm_rl=0.55389527449609"">0.22</a>","-2.71","F","","19.0","","1.98","Egypt","Alexandria","Yes","No"
"13","22.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=47661&sex=mixed&loo=22.20000&k=0.24000&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=7288&gm_lm_rl=0.55389527449609"">0.24</a>","-1.00","","","19.0","","2.07","Cyprus","","No","No"
"14","22.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=47661&sex=mixed&loo=22.80000&k=0.27700&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=7286&gm_lm_rl=0.55389527449609"">0.28</a>","-0.79","","","15.6","","2.16","Croatia","eastern Adriatic Sea","No","No"
"15","23.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=4861&sex=unsexed&loo=23.00000&k=0.75000&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3212&gm_lm_rl=0.55389527449609"">0.75</a>","","","0.87","14.0","","2.60","Greece","Gulf of Saronikos, Athens","No","No"
"16","23.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=4861&sex=female&loo=23.30000&k=0.50000&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3210&gm_lm_rl=0.55389527449609"">0.50</a>","","F","","19.0","","2.43","France","Gulf of Marseille","No","No"
"17","24.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=4861&sex=male&loo=24.80000&k=0.89000&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=3211&gm_lm_rl=0.55389527449609"">0.89</a>","","M","","19.0","","2.74","France","Gulf of Marseille","No","No"
"18","27.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=56717&sex=male&loo=27.40000&k=0.19300&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=8790&gm_lm_rl=0.55389527449609"">0.19</a>","-0.24","M","","","","2.16","Turkey","Eastern Black Sea","No","No"
"19","33.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1962&pref=56717&sex=female&loo=33.50000&k=0.12500&id2=1766&genusname=Spicara&speciesname=smaris&gm_loo=19.862476961194&gm_lm=8.9994444272966&gm_m=0.87&gm_k=0.42553728485365&vautoctr=8789&gm_lm_rl=0.55389527449609"">0.13</a>","-0.28","F","","","","2.15","Turkey","Eastern Black Sea","No","No"
