"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","4.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=4.20000&k=6.20000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2798&gm_lm_rl=0.52999997138977"">6.20</a>","","","","29.5","","2.04","Solomon Is.","Tulagi","Yes","No"
"2","4.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=4.30000&k=7.20000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2799&gm_lm_rl=0.52999997138977"">7.20</a>","","","","29.4","","2.12","Solomon Is.","Munda","Yes","No"
"3","5.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=5.20000&k=7.20000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2800&gm_lm_rl=0.52999997138977"">7.20</a>","","","","25.9","","2.29","Australia","Townsville","Yes","No"
"4","5.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=5.80000&k=6.80000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2801&gm_lm_rl=0.52999997138977"">6.80</a>","","","","30.6","","2.36","Solomon Is.","Vonavona","Yes","No"
"5","7.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=7.50000&k=5.30000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2802&gm_lm_rl=0.52999997138977"">5.30</a>","","","","30.0","","2.47","Maldives","Alifushi","No","No"
"6","7.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=7.60000&k=7.10000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2803&gm_lm_rl=0.52999997138977"">7.10</a>","","","","28.4","","2.61","Solomon Is.","Tulagi","Yes","No"
"7","7.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=7.80000&k=5.40000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2804&gm_lm_rl=0.52999997138977"">5.40</a>","","","","31.0","","2.52","Solomon Is.","Munda","No","No"
"8","7.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=7.90000&k=7.10000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2805&gm_lm_rl=0.52999997138977"">7.10</a>","","","","27.5","","2.65","Australia","Lizard Island","Yes","No"
"9","8.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4384&sex=unsexed&loo=8.30000&k=4.38000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2806&gm_lm_rl=0.52999997138977"">4.38</a>","","","11.30","29.9","4.4","2.48","Papua New Guinea","Ysabel Passage, New Ireland province","No","No"
"10","8.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1651&pref=4378&sex=unsexed&loo=8.50000&k=4.10000&id2=1458&genusname=Spratelloides&speciesname=gracilis&gm_loo=6.5016601568927&gm_lm=4.4&gm_m=11.3&gm_k=5.9607511180787&vautoctr=2807&gm_lm_rl=0.52999997138977"">4.10</a>","","","","30.5","","2.47","Maldives","Thinadhoo","No","No"
